run_time,failsafe_state,latest_api_status,recent_api_statuses,window_runs,consecutive_non_live_detected
2026-05-03 17:23:43,ALERT,stale_fallback,stale_fallback|stale_fallback,2,True
2026-05-12 06:58:27,OK,success,stale_fallback|success,2,False
2026-09-02 19:38:21,WATCH,stale_fallback,success|stale_fallback,2,False
