district,rows,event_rate,pred_rate,precision,recall,f1
Jaisalmer,1825,0.10575342465753425,0.11287671232876713,0.8495145631067961,0.9067357512953368,0.8771929824561403
Kota,1825,0.10136986301369863,0.11342465753424658,0.8067632850241546,0.9027027027027027,0.8520408163265306
Chittaurgarh,1825,0.0789041095890411,0.08767123287671233,0.80625,0.8958333333333334,0.8486842105263158
Bhilwara,1825,0.09150684931506849,0.09972602739726028,0.8131868131868132,0.8862275449101796,0.8481375358166189
Bundi,1825,0.09917808219178083,0.11013698630136987,0.8009950248756219,0.8895027624309392,0.8429319371727748
Jaipur,1825,0.09643835616438357,0.1052054794520548,0.8072916666666666,0.8806818181818182,0.842391304347826
Churu,1825,0.1052054794520548,0.11013698630136987,0.8208955223880597,0.859375,0.8396946564885496
Jodhpur,1825,0.11397260273972602,0.1210958904109589,0.8144796380090498,0.8653846153846154,0.8391608391608392
Alwar,1825,0.08383561643835616,0.08986301369863013,0.8109756097560976,0.869281045751634,0.8391167192429022
Sikar,1825,0.09424657534246575,0.09863013698630137,0.8166666666666667,0.8546511627906976,0.8352272727272727
Sirohi,1825,0.07287671232876712,0.07945205479452055,0.8,0.8721804511278195,0.8345323741007195
Bikaner,1825,0.12383561643835617,0.136986301369863,0.784,0.8672566371681416,0.8235294117647058
Ganganagar,1825,0.10904109589041096,0.11013698630136987,0.8159203980099502,0.8241206030150754,0.82
Ajmer,1825,0.10849315068493151,0.1189041095890411,0.783410138248848,0.8585858585858586,0.8192771084337349
Nagaur,1825,0.12164383561643835,0.12986301369863013,0.7932489451476793,0.8468468468468469,0.8191721132897604
Hanumangarh,1825,0.10082191780821918,0.10465753424657534,0.8010471204188482,0.8315217391304348,0.816
Barmer,1825,0.08054794520547945,0.08602739726027397,0.7898089171974523,0.8435374149659864,0.8157894736842105
Dhaulpur,1825,0.09917808219178083,0.1178082191780822,0.7488372093023256,0.8895027624309392,0.8131313131313131
Sawai Madhopur,1825,0.11068493150684931,0.12383561643835617,0.7699115044247787,0.8613861386138614,0.8130841121495327
Pali,1825,0.0652054794520548,0.0663013698630137,0.8016528925619835,0.8151260504201681,0.8083333333333333
Jhalawar,1825,0.08438356164383562,0.10027397260273972,0.7431693989071039,0.8831168831168831,0.8071216617210683
Banswara,1825,0.03945205479452055,0.041643835616438356,0.7763157894736842,0.8194444444444444,0.7972972972972973
Udaipur,1825,0.049315068493150684,0.0547945205479452,0.73,0.8111111111111111,0.7684210526315789
