threshold,precision,recall,f1,positive_rate,selected
0.18,0.7108457321848082,0.9315033350436122,0.806351321341328,0.12169148302561049,False
0.2,0.721921921921922,0.9250897896357106,0.8109749240976049,0.11899940440738535,False
0.22,0.7294548413344182,0.9199589533093895,0.8137054685727252,0.11711733174508636,False
0.24,0.7361025005166356,0.913801949717804,0.8153828545267254,0.1152829064919595,False
0.26,0.7466187658495351,0.9063622370446383,0.8187717265353418,0.11273377010125074,False
0.28,0.7543595263724435,0.8989225243714726,0.8203207304225681,0.11066110780226325,False
0.3,0.7629272567922875,0.8932786044125193,0.8229732923658709,0.10873138773079213,False
0.32,0.7714477211796247,0.8858388917393535,0.8246954860281824,0.10663490172721858,False
0.34,0.7787630741246021,0.8786557208825039,0.8256991321118612,0.10477665276950565,False
0.36,0.7879702740362285,0.87044638276039,0.8271574841540712,0.10258487194758785,False
0.38,0.7963619182612804,0.8648024628014367,0.8291723035297012,0.10084574151280525,True
0.4,0.8050253684464846,0.8547973319651103,0.8291651113599602,0.0986063132817153,False
0.42,0.809663968604366,0.8468445356593125,0.8278369905956113,0.09712924359737939,False
0.44,0.8162854988690625,0.8332478193945613,0.8246794464897804,0.09479452054794521,False
0.46,0.8231676063557151,0.8240123140071832,0.8235897435897436,0.09296009529481834,False
0.48,0.8286685848809835,0.8127244740892765,0.8206190907913483,0.09107802263251935,False
0.5,0.8355579284570208,0.8029758850692663,0.8189429618001046,0.0892435973793925,False
0.52,0.8415032679738562,0.7927142124166239,0.8163804491413474,0.08748064324002382,False
0.54,0.8462395543175487,0.7793740379681888,0.8114316239316239,0.08552709946396665,False
0.56,0.850597609561753,0.7668034889687019,0.8065299514301133,0.08371649791542585,False
0.58,0.8563938246431693,0.754232939969215,0.8020733869867686,0.08178677784395473,False
0.6,0.8626750074471254,0.7429451000513083,0.7983459682977257,0.07997617629541394,False
0.62,0.8684452621895125,0.7265264238070805,0.791171951389859,0.07768910065515187,False
0.64,0.87602523659306,0.7124166239096973,0.7857951329937748,0.07552114353782013,False
0.66,0.8826779330516737,0.6967675731144176,0.7787813620071684,0.07330553901131626,False
0.68,0.8890750670241286,0.6806054386865059,0.7709968032548677,0.07108993448481239,False
0.7,0.8949187694434843,0.6641867624422781,0.7624797526137534,0.06892197736748064,False
0.72,0.9012477718360071,0.6485377116469985,0.7542891242727137,0.06682549136390709,False
0.74,0.9053954175905395,0.6285274499743458,0.7419745608721987,0.06446694460988683,False
0.76,0.9128244866330879,0.6044125192406362,0.7272727272727273,0.06148898153662895,False
0.78,0.9163636363636364,0.581836839404823,0.7117527067315236,0.05896366885050625,False
0.8,0.9231099656357389,0.5513083632632119,0.6903308705428847,0.055461584276354975,False
0.82,0.9302643573381951,0.5236018471010775,0.6700590938936309,0.052269207861822514,False
0.84,0.9377145659637077,0.4905079527963058,0.6440963449553646,0.04857653365098273,False
0.86,0.9427501337613697,0.45202668034889687,0.6110629443384775,0.04452650387135199,False
0.88,0.9465020576131687,0.41303232426885583,0.5751026969101626,0.040524121500893386,False
0.9,0.955991875423155,0.36223704463827605,0.5253953488372093,0.03518761167361525,False
