model,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_threshold,folds
grad_boost,0.9608961231473655,0.6999992563435626,0.9105054195381553,0.7872888412018388,0.9882194484271185,0.22400000000000003,5
random_forest,0.9554121450464901,0.6641954065766955,0.940542266406523,0.7741121709377995,0.9882959794500404,0.40800000000000003,5
ensemble_lgrfgb,0.956129350784737,0.6684893624305942,0.9333203352314513,0.7706042764257706,0.9888771530980497,0.368,5
logistic,0.9384310875239317,0.5824590422465251,0.9471337649451378,0.7135122548612948,0.9837288686857681,0.4640000000000001,5
