district,rows,event_rate,pred_rate,precision,recall,f1
Jaisalmer,1825,0.10575342465753425,0.13150684931506848,0.7708333333333334,0.9585492227979274,0.8545034642032333
Bhilwara,1825,0.09150684931506849,0.11561643835616438,0.7488151658767772,0.9461077844311377,0.8359788359788359
Jodhpur,1825,0.11397260273972602,0.14082191780821918,0.754863813229572,0.9326923076923077,0.8344086021505376
Sawai Madhopur,1825,0.11068493150684931,0.14136986301369864,0.7403100775193798,0.9455445544554455,0.8304347826086956
Kota,1825,0.10136986301369863,0.13205479452054794,0.7302904564315352,0.9513513513513514,0.8262910798122066
Nagaur,1825,0.12164383561643835,0.14356164383561643,0.7595419847328244,0.8963963963963963,0.8223140495867769
Bundi,1825,0.09917808219178083,0.12657534246575342,0.7316017316017316,0.9337016574585635,0.8203883495145631
Churu,1825,0.1052054794520548,0.13205479452054794,0.7344398340248963,0.921875,0.8175519630484989
Sirohi,1825,0.07287671232876712,0.09205479452054795,0.7321428571428571,0.924812030075188,0.8172757475083057
Ajmer,1825,0.10849315068493151,0.136986301369863,0.732,0.9242424242424242,0.8169642857142857
Bikaner,1825,0.12383561643835617,0.15287671232876712,0.7383512544802867,0.911504424778761,0.8158415841584158
Chittaurgarh,1825,0.0789041095890411,0.10136986301369863,0.7243243243243244,0.9305555555555556,0.8145896656534954
Pali,1825,0.0652054794520548,0.08438356164383562,0.7207792207792207,0.9327731092436975,0.8131868131868132
Ganganagar,1825,0.10904109589041096,0.12164383561643835,0.7702702702702703,0.8592964824120602,0.8123515439429929
Jaipur,1825,0.09643835616438357,0.12219178082191781,0.7219730941704036,0.9147727272727273,0.8070175438596491
Jhalawar,1825,0.08438356164383562,0.11397260273972602,0.7019230769230769,0.948051948051948,0.8066298342541437
Sikar,1825,0.09424657534246575,0.11397260273972602,0.7355769230769231,0.8895348837209303,0.8052631578947368
Alwar,1825,0.08383561643835616,0.1052054794520548,0.71875,0.9019607843137255,0.8
Hanumangarh,1825,0.10082191780821918,0.12,0.7351598173515982,0.875,0.7990074441687345
Dhaulpur,1825,0.09917808219178083,0.13315068493150686,0.6954732510288066,0.9337016574585635,0.7971698113207547
Barmer,1825,0.08054794520547945,0.10575342465753425,0.689119170984456,0.9047619047619048,0.7823529411764706
Udaipur,1825,0.049315068493150684,0.07123287671232877,0.6461538461538462,0.9333333333333333,0.7636363636363637
Banswara,1825,0.03945205479452055,0.05589041095890411,0.6372549019607843,0.9027777777777778,0.7471264367816092
