accuracy,precision,recall,f1,roc_auc,positive_rate,actual_event_rate,model,test_year,best_threshold,train_rows,val_rows,test_rows
0.957355568790947,0.7168458781362007,0.6666666666666666,0.690846286701209,0.9761002779559547,0.06646813579511614,0.0714711137581894,logistic_v4,2021,0.8,33580,8418,8395
0.9415128052412151,0.7412250516173434,0.9035234899328859,0.814366729678639,0.9843834876780462,0.17307921381774866,0.14198927933293626,logistic_v4,2022,0.62,41975,8395,8395
0.9633114949374628,0.530241935483871,0.7781065088757396,0.6306954436450839,0.9819477788802122,0.05908278737343657,0.04026206075044669,logistic_v4,2023,0.76,50370,8395,8395
0.9649560465668805,0.816793893129771,0.9241842610364683,0.8671769473210266,0.9928399051132271,0.14005702066999287,0.12378237110952721,logistic_v4,2024,0.68,58765,8395,8418
0.9569995222169135,0.723170731707317,0.8168044077134986,0.7671410090556274,0.9833728938014007,0.09794553272814142,0.08671763019589107,logistic_v4,2025,0.82,67183,8418,8372
0.9600952948183442,0.7029096477794793,0.765,0.7326416600159616,0.9825755826384434,0.07778439547349612,0.0714711137581894,random_forest_v4,2021,0.64,33580,8418,8395
0.9590232281119714,0.8108504398826979,0.9278523489932886,0.865414710485133,0.9906008355951612,0.16247766527695057,0.14198927933293626,random_forest_v4,2022,0.52,41975,8395,8395
0.9745086360929125,0.6455399061032864,0.8136094674556213,0.7198952879581152,0.9880984817494874,0.05074449076831447,0.04026206075044669,random_forest_v4,2023,0.64,50370,8395,8395
0.9744594915656926,0.8868101028999065,0.9097888675623801,0.8981525343439128,0.9930781369050841,0.1269897837966263,0.12378237110952721,random_forest_v4,2024,0.62,58765,8395,8418
0.9581939799331104,0.7175925925925926,0.8539944903581267,0.779874213836478,0.9863168699815311,0.10320114667940755,0.08671763019589107,random_forest_v4,2025,0.52,67183,8418,8372
0.9636688505062537,0.7487352445193929,0.74,0.7443419949706622,0.9829935856318153,0.0706372840976772,0.0714711137581894,grad_boost_v4,2021,0.52,33580,8418,8395
0.9648600357355569,0.8709677419354839,0.8833892617449665,0.8771345272802998,0.9910471447858695,0.14401429422275164,0.14198927933293626,grad_boost_v4,2022,0.38,41975,8395,8395
0.9706968433591423,0.5995670995670995,0.8195266272189349,0.6925,0.9866357160850243,0.05503275759380584,0.04026206075044669,grad_boost_v4,2023,0.38,50370,8395,8395
0.9749346638156332,0.8916116870876531,0.9078694817658349,0.8996671421778412,0.9939810366973241,0.12603943929674508,0.12378237110952721,grad_boost_v4,2024,0.36,58765,8395,8418
0.9599856665074057,0.7244546498277842,0.8691460055096418,0.7902316844082655,0.9866441085527715,0.10403726708074534,0.08671763019589107,grad_boost_v4,2025,0.28,67183,8418,8372
0.9535437760571769,0.6377952755905512,0.81,0.7136563876651982,0.9800410519563825,0.09076831447290054,0.0714711137581894,extra_trees_v4,2021,0.64,33580,8418,8395
0.958904109589041,0.8250191864927091,0.9018456375838926,0.8617234468937875,0.9897603953237232,0.1552114353782013,0.14198927933293626,extra_trees_v4,2022,0.62,41975,8395,8395
0.9660512209648601,0.5482695810564663,0.8905325443786982,0.6786922209695603,0.98740482934829,0.0653960690887433,0.04026206075044669,extra_trees_v4,2023,0.58,50370,8395,8395
0.9756474221905441,0.8828911253430924,0.9261036468330134,0.9039812646370023,0.9937245244211657,0.1298408172962699,0.12378237110952721,extra_trees_v4,2024,0.68,58765,8395,8418
0.9565217391304348,0.7080459770114943,0.8484848484848485,0.7719298245614035,0.9856827495462077,0.10391782130912566,0.08671763019589107,extra_trees_v4,2025,0.66,67183,8418,8372
