model,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_threshold,folds
grad_boost_v4,0.9668292119847983,0.7670672845874827,0.8439862752478756,0.8007750697674136,0.9882603183505608,0.384,5
random_forest_v4,0.9652561261044061,0.7527405378515926,0.8540490348738834,0.7991956813279202,0.9881339813739414,0.588,5
extra_trees_v4,0.9621336535864113,0.7204042290988626,0.8753933354560905,0.7859966289453904,0.9873227101191538,0.636,5
logistic_v4,0.9568270875506837,0.7056554980149007,0.8178570668450519,0.7540452832803172,0.9837288686857681,0.736,5
