date,district,rain_mm,tmax_c,tmin_c,tavg_c,heat_stress_score,pred_prob_critical_t1,pred_critical_t1,risk_score_next_day,alert_level_next_day,rank_within_date,pipeline_mode,aqi_status,confidence_tag,recommended_action
2026-04-29,Pali,0.0,41.0,28.8,34.9,46.69223674444444,0.9997517988487634,1,65.3412668435956,RED,1,Heat-only,excluded,High,Emergency heat-health action
2026-04-29,Kota,0.0,41.3,29.7,35.5,43.43366571111109,0.9996360513348735,1,63.219144508942776,RED,2,Heat-only,excluded,High,Emergency heat-health action
2026-04-29,Barmer,0.0,41.5,27.2,34.35,37.907600666666674,0.9992599869830637,1,59.614039977740575,RED,3,Heat-only,excluded,High,Emergency heat-health action
2026-04-29,Bundi,0.0,40.5,28.6,34.55,36.138374066666685,0.9979109202150619,1,58.416825350860506,ORANGE,4,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-29,Jodhpur,0.0,40.7,29.0,34.85,36.122975200000006,0.9973593950062365,1,58.38751270521828,ORANGE,5,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-29,Jaipur,0.0,39.5,29.1,34.3,35.621049188888925,0.9939605582576277,1,57.942301511794774,ORANGE,6,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-29,Bikaner,0.0,40.3,28.1,34.2,34.921274566666625,0.9981867656321507,1,57.635365265458574,ORANGE,7,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-29,Jhalawar,0.0,40.2,29.0,34.6,34.67373346666669,0.9912608680354854,1,57.23205713457534,ORANGE,8,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-29,Nagaur,0.0,40.9,26.0,33.45,32.292338766666674,0.9989733665270998,1,55.95408802678183,YELLOW,9,Heat-only,excluded,High,Targeted surveillance + advisories
2026-04-29,Sawai Madhopur,0.0,40.5,27.3,33.9,31.34941542222226,0.9981510997185603,1,55.31240851459408,YELLOW,10,Heat-only,excluded,High,Targeted surveillance + advisories
2026-04-30,Pali,0.0,41.2,28.5,34.85,46.992236744444455,0.9996589266212424,1,65.53301631563238,RED,1,Heat-only,excluded,High,Emergency heat-health action
2026-04-30,Barmer,0.0,42.2,27.5,34.85,43.00760066666669,0.999284016457271,1,62.929881009337834,RED,2,Heat-only,excluded,High,Emergency heat-health action
2026-04-30,Hanumangarh,0.0,39.1,25.2,32.15,36.23853541111113,0.997132186302124,1,58.45467453779657,ORANGE,3,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-30,Bundi,0.0,40.8,28.0,34.4,36.138374066666664,0.9977380595907714,1,58.410775229010326,ORANGE,4,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-30,Kota,0.0,40.7,28.4,34.55,35.933665711111125,0.9968461433406957,1,58.24649772914658,ORANGE,5,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-30,Bikaner,0.0,41.5,25.7,33.6,34.92127456666663,0.9990533376796736,1,57.665695287121885,ORANGE,6,Heat-only,excluded,High,Heat-health preparedness activation
2026-04-30,Ganganagar,0.0,39.2,24.8,32.0,33.21619212222224,0.9941161443537002,1,56.38458993182397,YELLOW,7,Heat-only,excluded,High,Targeted surveillance + advisories
2026-04-30,Jhalawar,0.0,40.3,28.2,34.25,32.87373346666665,0.9938941117615158,1,56.154220664986376,YELLOW,8,Heat-only,excluded,High,Targeted surveillance + advisories
2026-04-30,Nagaur,0.0,40.8,26.1,33.45,31.99233876666667,0.991328701168056,1,55.49152473921529,YELLOW,9,Heat-only,excluded,High,Targeted surveillance + advisories
2026-04-30,Jodhpur,0.0,40.7,27.5,34.1,31.622975200000006,0.9921384120374871,1,55.27977830131205,YELLOW,10,Heat-only,excluded,High,Targeted surveillance + advisories
2026-05-01,Pali,0.0,41.9,28.8,35.35,32.695057623655885,0.1757321039305156,0,27.402411092944373,GREEN,1,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Barmer,0.0,42.7,26.0,34.35,25.9286072043011,0.13199748381605267,0,21.47350661635756,GREEN,2,Heat-only,excluded,Low,Routine monitoring
