date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-26,Ajmer,1.3,36.0,26.2,2026-06-26T05:40,2026-06-26T19:28,05:40 AM,07:28 PM,31.1
2026-06-27,Ajmer,0.2,36.7,27.5,2026-06-27T05:40,2026-06-27T19:28,05:40 AM,07:28 PM,32.1
2026-06-26,Alwar,1.3,37.6,28.0,2026-06-26T05:30,2026-06-26T19:22,05:30 AM,07:22 PM,32.8
2026-06-27,Alwar,1.1,37.2,29.2,2026-06-27T05:30,2026-06-27T19:22,05:30 AM,07:22 PM,33.2
2026-06-26,Banswara,1.6,37.2,27.8,2026-06-26T05:47,2026-06-26T19:22,05:47 AM,07:22 PM,32.5
2026-06-27,Banswara,2.6,36.8,27.7,2026-06-27T05:47,2026-06-27T19:22,05:47 AM,07:22 PM,32.25
2026-06-26,Barmer,0.0,38.6,29.0,2026-06-26T05:55,2026-06-26T19:39,05:55 AM,07:39 PM,33.8
2026-06-27,Barmer,0.0,38.9,29.2,2026-06-27T05:55,2026-06-27T19:39,05:55 AM,07:39 PM,34.05
2026-06-26,Bhilwara,1.3,35.8,25.0,2026-06-26T05:43,2026-06-26T19:25,05:43 AM,07:25 PM,30.4
2026-06-27,Bhilwara,0.9,36.4,27.3,2026-06-27T05:43,2026-06-27T19:25,05:43 AM,07:25 PM,31.85
2026-06-26,Bikaner,1.6,40.8,29.2,2026-06-26T05:42,2026-06-26T19:36,05:42 AM,07:36 PM,35.0
2026-06-27,Bikaner,0.4,41.4,30.0,2026-06-27T05:42,2026-06-27T19:36,05:42 AM,07:36 PM,35.7
2026-06-26,Bundi,0.5,37.3,26.7,2026-06-26T05:38,2026-06-26T19:21,05:38 AM,07:21 PM,32.0
2026-06-27,Bundi,0.6,38.3,28.3,2026-06-27T05:39,2026-06-27T19:21,05:39 AM,07:21 PM,33.3
2026-06-26,Chittaurgarh,5.0,35.9,24.8,2026-06-26T05:44,2026-06-26T19:24,05:44 AM,07:24 PM,30.35
2026-06-27,Chittaurgarh,0.9,36.2,26.6,2026-06-27T05:44,2026-06-27T19:24,05:44 AM,07:24 PM,31.400000000000002
2026-06-26,Churu,0.0,38.4,28.2,2026-06-26T05:34,2026-06-26T19:30,05:34 AM,07:30 PM,33.3
2026-06-27,Churu,0.1,39.0,28.6,2026-06-27T05:35,2026-06-27T19:30,05:35 AM,07:30 PM,33.8
2026-06-26,Dhaulpur,0.3,38.3,28.3,2026-06-26T05:27,2026-06-26T19:15,05:27 AM,07:15 PM,33.3
2026-06-27,Dhaulpur,0.0,39.2,30.2,2026-06-27T05:27,2026-06-27T19:15,05:27 AM,07:15 PM,34.7
2026-06-26,Ganganagar,0.7,39.3,29.5,2026-06-26T05:35,2026-06-26T19:39,05:35 AM,07:39 PM,34.4
2026-06-27,Ganganagar,0.0,39.9,30.0,2026-06-27T05:35,2026-06-27T19:39,05:35 AM,07:39 PM,34.95
2026-06-26,Hanumangarh,0.5,38.5,30.2,2026-06-26T05:34,2026-06-26T19:36,05:34 AM,07:36 PM,34.35
2026-06-27,Hanumangarh,0.7,39.1,28.5,2026-06-27T05:34,2026-06-27T19:36,05:34 AM,07:36 PM,33.8
2026-06-26,Jaipur,0.8,37.7,27.0,2026-06-26T05:34,2026-06-26T19:24,05:34 AM,07:24 PM,32.35
2026-06-27,Jaipur,0.5,38.5,28.2,2026-06-27T05:35,2026-06-27T19:24,05:35 AM,07:24 PM,33.35
2026-06-26,Jaisalmer,0.0,39.4,28.6,2026-06-26T05:54,2026-06-26T19:43,05:54 AM,07:43 PM,34.0
2026-06-27,Jaisalmer,0.0,40.4,29.0,2026-06-27T05:54,2026-06-27T19:43,05:54 AM,07:43 PM,34.7
2026-06-26,Jhalawar,6.8,35.4,26.1,2026-06-26T05:38,2026-06-26T19:17,05:38 AM,07:17 PM,30.75
2026-06-27,Jhalawar,4.2,37.2,27.3,2026-06-27T05:39,2026-06-27T19:18,05:39 AM,07:18 PM,32.25
2026-06-26,Jodhpur,3.9,38.7,26.1,2026-06-26T05:47,2026-06-26T19:34,05:47 AM,07:34 PM,32.400000000000006
2026-06-27,Jodhpur,0.2,38.7,28.0,2026-06-27T05:47,2026-06-27T19:34,05:47 AM,07:34 PM,33.35
2026-06-26,Kota,0.0,37.2,26.9,2026-06-26T05:38,2026-06-26T19:20,05:38 AM,07:20 PM,32.05
2026-06-27,Kota,1.2,39.0,28.7,2026-06-27T05:38,2026-06-27T19:20,05:38 AM,07:20 PM,33.85
2026-06-26,Nagaur,1.4,39.1,25.5,2026-06-26T05:42,2026-06-26T19:33,05:42 AM,07:33 PM,32.3
2026-06-27,Nagaur,0.0,39.6,28.9,2026-06-27T05:42,2026-06-27T19:33,05:42 AM,07:33 PM,34.25
2026-06-26,Pali,2.3,37.9,25.6,2026-06-26T05:47,2026-06-26T19:31,05:47 AM,07:31 PM,31.75
2026-06-27,Pali,1.9,38.5,27.5,2026-06-27T05:47,2026-06-27T19:31,05:47 AM,07:31 PM,33.0
2026-06-26,Sawai Madhopur,0.0,37.7,27.5,2026-06-26T05:34,2026-06-26T19:20,05:34 AM,07:20 PM,32.6
2026-06-27,Sawai Madhopur,0.2,38.5,28.9,2026-06-27T05:35,2026-06-27T19:20,05:35 AM,07:20 PM,33.7
2026-06-26,Sikar,0.0,36.1,26.2,2026-06-26T05:35,2026-06-26T19:28,05:35 AM,07:28 PM,31.15
2026-06-27,Sikar,0.0,36.6,27.4,2026-06-27T05:36,2026-06-27T19:28,05:36 AM,07:28 PM,32.0
2026-06-26,Sirohi,0.2,37.6,29.2,2026-06-26T05:51,2026-06-26T19:31,05:51 AM,07:31 PM,33.4
2026-06-27,Sirohi,0.0,37.4,29.3,2026-06-27T05:51,2026-06-27T19:31,05:51 AM,07:31 PM,33.35
2026-06-26,Udaipur,1.4,33.6,25.6,2026-06-26T05:48,2026-06-26T19:27,05:48 AM,07:27 PM,29.6
2026-06-27,Udaipur,6.5,33.8,25.6,2026-06-27T05:49,2026-06-27T19:28,05:49 AM,07:28 PM,29.7
