date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-08-04,Ajmer,0.1,30.0,24.6,2026-08-04T05:58,2026-08-04T19:16,05:58 AM,07:16 PM,27.3
2026-08-05,Ajmer,2.0,31.2,24.1,2026-08-05T05:58,2026-08-05T19:16,05:58 AM,07:16 PM,27.65
2026-08-04,Alwar,11.1,30.4,26.2,2026-08-04T05:48,2026-08-04T19:10,05:48 AM,07:10 PM,28.299999999999997
2026-08-05,Alwar,3.9,32.2,25.8,2026-08-05T05:49,2026-08-05T19:10,05:49 AM,07:10 PM,29.0
2026-08-04,Banswara,1.0,31.2,25.5,2026-08-04T06:03,2026-08-04T19:13,06:03 AM,07:13 PM,28.35
2026-08-05,Banswara,2.5,31.1,24.9,2026-08-05T06:03,2026-08-05T19:12,06:03 AM,07:12 PM,28.0
2026-08-04,Barmer,0.0,34.6,25.9,2026-08-04T06:12,2026-08-04T19:28,06:12 AM,07:28 PM,30.25
2026-08-05,Barmer,0.0,34.4,25.5,2026-08-05T06:12,2026-08-05T19:28,06:12 AM,07:28 PM,29.95
2026-08-04,Bhilwara,1.5,30.8,25.4,2026-08-04T06:00,2026-08-04T19:15,06:00 AM,07:15 PM,28.1
2026-08-05,Bhilwara,0.9,31.7,25.1,2026-08-05T06:00,2026-08-05T19:14,06:00 AM,07:14 PM,28.4
2026-08-04,Bikaner,18.2,33.7,26.1,2026-08-04T06:00,2026-08-04T19:24,06:00 AM,07:24 PM,29.900000000000002
2026-08-05,Bikaner,0.0,36.1,27.2,2026-08-05T06:01,2026-08-05T19:23,06:01 AM,07:23 PM,31.65
2026-08-04,Bundi,3.8,32.1,26.3,2026-08-04T05:55,2026-08-04T19:11,05:55 AM,07:11 PM,29.200000000000003
2026-08-05,Bundi,1.1,32.4,26.8,2026-08-05T05:56,2026-08-05T19:10,05:56 AM,07:10 PM,29.6
2026-08-04,Chittaurgarh,2.0,31.3,25.4,2026-08-04T06:00,2026-08-04T19:14,06:00 AM,07:14 PM,28.35
2026-08-05,Chittaurgarh,0.8,31.6,24.8,2026-08-05T06:01,2026-08-05T19:13,06:01 AM,07:13 PM,28.200000000000003
2026-08-04,Churu,15.4,33.7,26.5,2026-08-04T05:53,2026-08-04T19:18,05:53 AM,07:18 PM,30.1
2026-08-05,Churu,2.2,34.6,25.6,2026-08-05T05:54,2026-08-05T19:17,05:54 AM,07:17 PM,30.1
2026-08-04,Dhaulpur,52.4,30.1,26.7,2026-08-04T05:44,2026-08-04T19:04,05:44 AM,07:04 PM,28.4
2026-08-05,Dhaulpur,16.3,30.2,26.1,2026-08-05T05:45,2026-08-05T19:03,05:45 AM,07:03 PM,28.15
2026-08-04,Ganganagar,7.6,35.3,28.1,2026-08-04T05:55,2026-08-04T19:25,05:55 AM,07:25 PM,31.7
2026-08-05,Ganganagar,3.0,35.5,26.0,2026-08-05T05:56,2026-08-05T19:24,05:56 AM,07:24 PM,30.75
2026-08-04,Hanumangarh,6.1,34.1,28.2,2026-08-04T05:54,2026-08-04T19:23,05:54 AM,07:23 PM,31.15
2026-08-05,Hanumangarh,0.5,34.8,26.4,2026-08-05T05:54,2026-08-05T19:22,05:54 AM,07:22 PM,30.599999999999998
2026-08-04,Jaipur,4.9,30.6,25.7,2026-08-04T05:52,2026-08-04T19:12,05:52 AM,07:12 PM,28.15
2026-08-05,Jaipur,7.4,31.7,24.1,2026-08-05T05:53,2026-08-05T19:12,05:53 AM,07:12 PM,27.9
2026-08-04,Jaisalmer,0.0,32.1,25.9,2026-08-04T06:12,2026-08-04T19:32,06:12 AM,07:32 PM,29.0
2026-08-05,Jaisalmer,0.0,33.6,25.3,2026-08-05T06:12,2026-08-05T19:31,06:12 AM,07:31 PM,29.450000000000003
2026-08-04,Jhalawar,1.0,31.4,25.7,2026-08-04T05:55,2026-08-04T19:07,05:55 AM,07:07 PM,28.549999999999997
2026-08-05,Jhalawar,0.8,32.6,26.4,2026-08-05T05:55,2026-08-05T19:07,05:55 AM,07:07 PM,29.5
2026-08-04,Jodhpur,2.5,32.3,25.3,2026-08-04T06:05,2026-08-04T19:23,06:05 AM,07:23 PM,28.799999999999997
2026-08-05,Jodhpur,0.0,32.7,26.5,2026-08-05T06:05,2026-08-05T19:22,06:05 AM,07:22 PM,29.6
2026-08-04,Kota,3.2,31.4,26.8,2026-08-04T05:55,2026-08-04T19:09,05:55 AM,07:09 PM,29.1
2026-08-05,Kota,1.2,32.2,27.3,2026-08-05T05:55,2026-08-05T19:09,05:55 AM,07:09 PM,29.75
2026-08-04,Nagaur,8.3,32.6,25.0,2026-08-04T06:00,2026-08-04T19:21,06:00 AM,07:21 PM,28.8
2026-08-05,Nagaur,0.0,34.6,26.9,2026-08-05T06:01,2026-08-05T19:20,06:01 AM,07:20 PM,30.75
2026-08-04,Pali,1.2,32.9,26.4,2026-08-04T06:04,2026-08-04T19:21,06:04 AM,07:21 PM,29.65
2026-08-05,Pali,0.0,33.4,26.6,2026-08-05T06:04,2026-08-05T19:20,06:04 AM,07:20 PM,30.0
2026-08-04,Sawai Madhopur,13.6,31.8,26.1,2026-08-04T05:52,2026-08-04T19:09,05:52 AM,07:09 PM,28.950000000000003
2026-08-05,Sawai Madhopur,7.5,31.5,26.6,2026-08-05T05:52,2026-08-05T19:08,05:52 AM,07:08 PM,29.05
2026-08-04,Sikar,7.0,30.4,24.9,2026-08-04T05:54,2026-08-04T19:16,05:54 AM,07:16 PM,27.65
2026-08-05,Sikar,2.1,32.2,24.5,2026-08-05T05:54,2026-08-05T19:15,05:54 AM,07:15 PM,28.35
2026-08-04,Sirohi,0.0,31.4,25.8,2026-08-04T06:07,2026-08-04T19:21,06:07 AM,07:21 PM,28.6
2026-08-05,Sirohi,0.0,31.0,25.0,2026-08-05T06:08,2026-08-05T19:20,06:08 AM,07:20 PM,28.0
2026-08-04,Udaipur,0.0,29.4,23.1,2026-08-04T06:05,2026-08-04T19:17,06:05 AM,07:17 PM,26.25
2026-08-05,Udaipur,0.0,28.8,23.2,2026-08-05T06:05,2026-08-05T19:17,06:05 AM,07:17 PM,26.0
