date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-09-26,Ajmer,0.0,33.5,22.8,2026-09-26T06:21,2026-09-26T18:23,06:21 AM,06:23 PM,28.15
2026-09-27,Ajmer,0.0,31.3,24.4,2026-09-27T06:22,2026-09-27T18:22,06:22 AM,06:22 PM,27.85
2026-09-26,Alwar,0.8,30.1,22.0,2026-09-26T06:13,2026-09-26T18:15,06:13 AM,06:15 PM,26.05
2026-09-27,Alwar,0.7,33.5,21.3,2026-09-27T06:14,2026-09-27T18:14,06:14 AM,06:14 PM,27.4
2026-09-26,Banswara,0.0,30.1,25.0,2026-09-26T06:22,2026-09-26T18:24,06:22 AM,06:24 PM,27.55
2026-09-27,Banswara,0.7,29.7,23.7,2026-09-27T06:22,2026-09-27T18:23,06:22 AM,06:23 PM,26.7
2026-09-26,Barmer,0.0,35.4,24.6,2026-09-26T06:34,2026-09-26T18:36,06:34 AM,06:36 PM,30.0
2026-09-27,Barmer,0.0,34.3,23.5,2026-09-27T06:35,2026-09-27T18:35,06:35 AM,06:35 PM,28.9
2026-09-26,Bhilwara,0.2,34.6,23.3,2026-09-26T06:21,2026-09-26T18:23,06:21 AM,06:23 PM,28.950000000000003
2026-09-27,Bhilwara,0.0,32.7,23.4,2026-09-27T06:22,2026-09-27T18:22,06:22 AM,06:22 PM,28.05
2026-09-26,Bikaner,0.1,37.4,27.2,2026-09-26T06:26,2026-09-26T18:28,06:26 AM,06:28 PM,32.3
2026-09-27,Bikaner,0.4,37.3,28.4,2026-09-27T06:27,2026-09-27T18:27,06:27 AM,06:27 PM,32.849999999999994
2026-09-26,Bundi,3.0,32.5,22.0,2026-09-26T06:17,2026-09-26T18:19,06:17 AM,06:19 PM,27.25
2026-09-27,Bundi,0.0,31.9,24.8,2026-09-27T06:17,2026-09-27T18:18,06:17 AM,06:18 PM,28.35
2026-09-26,Chittaurgarh,0.2,34.0,22.6,2026-09-26T06:21,2026-09-26T18:24,06:21 AM,06:24 PM,28.3
2026-09-27,Chittaurgarh,0.0,30.9,22.5,2026-09-27T06:21,2026-09-27T18:22,06:21 AM,06:22 PM,26.7
2026-09-26,Churu,0.0,33.6,23.7,2026-09-26T06:20,2026-09-26T18:22,06:20 AM,06:22 PM,28.65
2026-09-27,Churu,0.3,36.0,24.2,2026-09-27T06:20,2026-09-27T18:20,06:20 AM,06:20 PM,30.1
2026-09-26,Dhaulpur,0.5,27.3,22.6,2026-09-26T06:08,2026-09-26T18:10,06:08 AM,06:10 PM,24.950000000000003
2026-09-27,Dhaulpur,6.7,33.0,21.2,2026-09-27T06:09,2026-09-27T18:09,06:09 AM,06:09 PM,27.1
2026-09-26,Ganganagar,0.0,35.0,26.0,2026-09-26T06:24,2026-09-26T18:26,06:24 AM,06:26 PM,30.5
2026-09-27,Ganganagar,0.0,36.2,25.4,2026-09-27T06:25,2026-09-27T18:25,06:25 AM,06:25 PM,30.8
2026-09-26,Hanumangarh,0.0,33.1,25.0,2026-09-26T06:22,2026-09-26T18:24,06:22 AM,06:24 PM,29.05
2026-09-27,Hanumangarh,0.0,34.5,24.7,2026-09-27T06:23,2026-09-27T18:23,06:23 AM,06:23 PM,29.6
2026-09-26,Jaipur,0.0,32.2,21.9,2026-09-26T06:16,2026-09-26T18:18,06:16 AM,06:18 PM,27.05
2026-09-27,Jaipur,3.5,34.2,22.1,2026-09-27T06:17,2026-09-27T18:17,06:17 AM,06:17 PM,28.150000000000002
2026-09-26,Jaisalmer,0.0,37.2,26.8,2026-09-26T06:36,2026-09-26T18:38,06:36 AM,06:38 PM,32.0
2026-09-27,Jaisalmer,0.0,34.9,25.0,2026-09-27T06:36,2026-09-27T18:37,06:36 AM,06:37 PM,29.95
2026-09-26,Jhalawar,4.7,31.8,21.7,2026-09-26T06:15,2026-09-26T18:17,06:15 AM,06:17 PM,26.75
2026-09-27,Jhalawar,0.0,30.4,24.0,2026-09-27T06:15,2026-09-27T18:16,06:15 AM,06:16 PM,27.2
2026-09-26,Jodhpur,0.3,36.6,27.9,2026-09-26T06:28,2026-09-26T18:30,06:28 AM,06:30 PM,32.25
2026-09-27,Jodhpur,0.0,33.9,25.6,2026-09-27T06:28,2026-09-27T18:29,06:28 AM,06:29 PM,29.75
2026-09-26,Kota,4.0,31.6,22.0,2026-09-26T06:16,2026-09-26T18:18,06:16 AM,06:18 PM,26.8
2026-09-27,Kota,0.0,32.1,24.9,2026-09-27T06:16,2026-09-27T18:17,06:16 AM,06:17 PM,28.5
2026-09-26,Nagaur,4.4,36.3,26.0,2026-09-26T06:25,2026-09-26T18:27,06:25 AM,06:27 PM,31.15
2026-09-27,Nagaur,0.0,34.1,26.9,2026-09-27T06:25,2026-09-27T18:26,06:25 AM,06:26 PM,30.5
2026-09-26,Pali,0.0,36.1,27.9,2026-09-26T06:26,2026-09-26T18:29,06:26 AM,06:29 PM,32.0
2026-09-27,Pali,0.0,34.3,25.2,2026-09-27T06:27,2026-09-27T18:27,06:27 AM,06:27 PM,29.75
2026-09-26,Sawai Madhopur,0.0,32.0,22.0,2026-09-26T06:14,2026-09-26T18:17,06:14 AM,06:17 PM,27.0
2026-09-27,Sawai Madhopur,0.0,33.3,25.5,2026-09-27T06:15,2026-09-27T18:16,06:15 AM,06:16 PM,29.4
2026-09-26,Sikar,0.0,32.8,21.9,2026-09-26T06:19,2026-09-26T18:21,06:19 AM,06:21 PM,27.349999999999998
2026-09-27,Sikar,3.0,34.4,23.2,2026-09-27T06:20,2026-09-27T18:20,06:20 AM,06:20 PM,28.799999999999997
2026-09-26,Sirohi,0.0,33.9,25.3,2026-09-26T06:28,2026-09-26T18:30,06:28 AM,06:30 PM,29.6
2026-09-27,Sirohi,0.0,32.6,23.3,2026-09-27T06:28,2026-09-27T18:29,06:28 AM,06:29 PM,27.950000000000003
2026-09-26,Udaipur,0.0,30.0,20.4,2026-09-26T06:25,2026-09-26T18:27,06:25 AM,06:27 PM,25.2
2026-09-27,Udaipur,0.0,28.4,20.2,2026-09-27T06:25,2026-09-27T18:26,06:25 AM,06:26 PM,24.299999999999997
