date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-18,Ajmer,1.7,32.5,25.9,2026-06-18T05:38,2026-06-18T19:26,05:38 AM,07:26 PM,29.2
2026-06-19,Ajmer,0.0,34.3,26.5,2026-06-19T05:38,2026-06-19T19:26,05:38 AM,07:26 PM,30.4
2026-06-18,Alwar,0.0,37.9,26.7,2026-06-18T05:28,2026-06-18T19:21,05:28 AM,07:21 PM,32.3
2026-06-19,Alwar,0.8,38.0,27.8,2026-06-19T05:28,2026-06-19T19:21,05:28 AM,07:21 PM,32.9
2026-06-18,Banswara,3.0,34.5,24.9,2026-06-18T05:45,2026-06-18T19:20,05:45 AM,07:20 PM,29.7
2026-06-19,Banswara,1.2,34.9,25.7,2026-06-19T05:45,2026-06-19T19:21,05:45 AM,07:21 PM,30.299999999999997
2026-06-18,Barmer,0.0,38.1,28.4,2026-06-18T05:53,2026-06-18T19:37,05:53 AM,07:37 PM,33.25
2026-06-19,Barmer,0.0,37.9,27.8,2026-06-19T05:53,2026-06-19T19:38,05:53 AM,07:38 PM,32.85
2026-06-18,Bhilwara,3.1,34.9,23.9,2026-06-18T05:41,2026-06-18T19:24,05:41 AM,07:24 PM,29.4
2026-06-19,Bhilwara,1.1,35.7,26.3,2026-06-19T05:41,2026-06-19T19:24,05:41 AM,07:24 PM,31.0
2026-06-18,Bikaner,7.5,35.9,25.0,2026-06-18T05:40,2026-06-18T19:35,05:40 AM,07:35 PM,30.45
2026-06-19,Bikaner,0.0,37.9,29.2,2026-06-19T05:40,2026-06-19T19:35,05:40 AM,07:35 PM,33.55
2026-06-18,Bundi,1.7,36.3,24.8,2026-06-18T05:36,2026-06-18T19:19,05:36 AM,07:19 PM,30.549999999999997
2026-06-19,Bundi,1.9,37.5,26.0,2026-06-19T05:37,2026-06-19T19:20,05:37 AM,07:20 PM,31.75
2026-06-18,Chittaurgarh,0.4,33.8,26.2,2026-06-18T05:42,2026-06-18T19:23,05:42 AM,07:23 PM,30.0
2026-06-19,Chittaurgarh,2.1,35.2,25.4,2026-06-19T05:42,2026-06-19T19:23,05:42 AM,07:23 PM,30.3
2026-06-18,Churu,0.5,36.2,27.8,2026-06-18T05:32,2026-06-18T19:29,05:32 AM,07:29 PM,32.0
2026-06-19,Churu,0.3,38.7,28.0,2026-06-19T05:33,2026-06-19T19:29,05:33 AM,07:29 PM,33.35
2026-06-18,Dhaulpur,0.0,39.2,29.9,2026-06-18T05:25,2026-06-18T19:13,05:25 AM,07:13 PM,34.55
2026-06-19,Dhaulpur,0.0,39.2,29.4,2026-06-19T05:25,2026-06-19T19:14,05:25 AM,07:14 PM,34.3
2026-06-18,Ganganagar,2.4,39.1,28.6,2026-06-18T05:33,2026-06-18T19:37,05:33 AM,07:37 PM,33.85
2026-06-19,Ganganagar,3.0,39.7,24.3,2026-06-19T05:33,2026-06-19T19:37,05:33 AM,07:37 PM,32.0
2026-06-18,Hanumangarh,0.9,38.3,29.3,2026-06-18T05:32,2026-06-18T19:34,05:32 AM,07:34 PM,33.8
2026-06-19,Hanumangarh,3.8,38.7,24.9,2026-06-19T05:32,2026-06-19T19:34,05:32 AM,07:34 PM,31.8
2026-06-18,Jaipur,3.0,35.2,27.1,2026-06-18T05:32,2026-06-18T19:22,05:32 AM,07:22 PM,31.150000000000002
2026-06-19,Jaipur,0.0,37.1,26.9,2026-06-19T05:33,2026-06-19T19:22,05:33 AM,07:22 PM,32.0
2026-06-18,Jaisalmer,0.0,38.3,28.0,2026-06-18T05:52,2026-06-18T19:42,05:52 AM,07:42 PM,33.15
2026-06-19,Jaisalmer,0.0,38.7,27.6,2026-06-19T05:52,2026-06-19T19:42,05:52 AM,07:42 PM,33.150000000000006
2026-06-18,Jhalawar,0.4,37.2,29.0,2026-06-18T05:36,2026-06-18T19:16,05:36 AM,07:16 PM,33.1
2026-06-19,Jhalawar,1.2,37.3,27.8,2026-06-19T05:36,2026-06-19T19:16,05:36 AM,07:16 PM,32.55
2026-06-18,Jodhpur,0.1,37.8,29.9,2026-06-18T05:45,2026-06-18T19:32,05:45 AM,07:32 PM,33.849999999999994
2026-06-19,Jodhpur,0.0,37.7,28.7,2026-06-19T05:45,2026-06-19T19:32,05:45 AM,07:32 PM,33.2
2026-06-18,Kota,0.6,36.4,28.9,2026-06-18T05:36,2026-06-18T19:18,05:36 AM,07:18 PM,32.65
2026-06-19,Kota,0.4,37.7,28.0,2026-06-19T05:36,2026-06-19T19:18,05:36 AM,07:18 PM,32.85
2026-06-18,Nagaur,4.4,37.1,28.0,2026-06-18T05:40,2026-06-18T19:31,05:40 AM,07:31 PM,32.55
2026-06-19,Nagaur,0.0,37.8,29.0,2026-06-19T05:40,2026-06-19T19:31,05:40 AM,07:31 PM,33.4
2026-06-18,Pali,0.5,37.8,30.0,2026-06-18T05:45,2026-06-18T19:30,05:45 AM,07:30 PM,33.9
2026-06-19,Pali,0.0,37.7,28.1,2026-06-19T05:45,2026-06-19T19:30,05:45 AM,07:30 PM,32.900000000000006
2026-06-18,Sawai Madhopur,1.9,38.0,24.9,2026-06-18T05:32,2026-06-18T19:18,05:32 AM,07:18 PM,31.45
2026-06-19,Sawai Madhopur,0.0,38.3,28.1,2026-06-19T05:33,2026-06-19T19:19,05:33 AM,07:19 PM,33.2
2026-06-18,Sikar,0.8,35.2,26.5,2026-06-18T05:33,2026-06-18T19:26,05:33 AM,07:26 PM,30.85
2026-06-19,Sikar,0.0,36.4,27.4,2026-06-19T05:34,2026-06-19T19:27,05:34 AM,07:27 PM,31.9
2026-06-18,Sirohi,1.1,36.3,26.2,2026-06-18T05:49,2026-06-18T19:30,05:49 AM,07:30 PM,31.25
2026-06-19,Sirohi,2.1,35.3,25.6,2026-06-19T05:49,2026-06-19T19:30,05:49 AM,07:30 PM,30.45
2026-06-18,Udaipur,1.5,32.2,24.5,2026-06-18T05:46,2026-06-18T19:26,05:46 AM,07:26 PM,28.35
2026-06-19,Udaipur,0.1,32.5,23.6,2026-06-19T05:46,2026-06-19T19:26,05:46 AM,07:26 PM,28.05
