date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-05-23,Ajmer,0.0,38.8,29.8,2026-05-23T05:40,2026-05-23T19:15,05:40 AM,07:15 PM,34.3
2026-05-24,Ajmer,0.0,38.8,29.5,2026-05-24T05:40,2026-05-24T19:15,05:40 AM,07:15 PM,34.15
2026-05-23,Alwar,0.0,41.2,28.4,2026-05-23T05:31,2026-05-23T19:09,05:31 AM,07:09 PM,34.8
2026-05-24,Alwar,0.0,42.9,27.4,2026-05-24T05:30,2026-05-24T19:10,05:30 AM,07:10 PM,35.15
2026-05-23,Banswara,0.0,40.5,28.6,2026-05-23T05:47,2026-05-23T19:10,05:47 AM,07:10 PM,34.55
2026-05-24,Banswara,0.0,39.9,28.7,2026-05-24T05:46,2026-05-24T19:11,05:46 AM,07:11 PM,34.3
2026-05-23,Barmer,0.0,42.5,28.1,2026-05-23T05:55,2026-05-23T19:27,05:55 AM,07:27 PM,35.3
2026-05-24,Barmer,0.0,41.7,26.8,2026-05-24T05:55,2026-05-24T19:27,05:55 AM,07:27 PM,34.25
2026-05-23,Bhilwara,0.0,40.4,29.2,2026-05-23T05:43,2026-05-23T19:13,05:43 AM,07:13 PM,34.8
2026-05-24,Bhilwara,0.0,40.5,30.4,2026-05-24T05:42,2026-05-24T19:13,05:42 AM,07:13 PM,35.45
2026-05-23,Bikaner,0.0,43.2,32.0,2026-05-23T05:43,2026-05-23T19:23,05:43 AM,07:23 PM,37.6
2026-05-24,Bikaner,0.0,44.2,30.2,2026-05-24T05:42,2026-05-24T19:24,05:42 AM,07:24 PM,37.2
2026-05-23,Bundi,0.0,41.7,30.4,2026-05-23T05:38,2026-05-23T19:09,05:38 AM,07:09 PM,36.05
2026-05-24,Bundi,0.0,42.7,30.9,2026-05-24T05:38,2026-05-24T19:09,05:38 AM,07:09 PM,36.8
2026-05-23,Chittaurgarh,0.0,40.3,28.5,2026-05-23T05:44,2026-05-23T19:12,05:44 AM,07:12 PM,34.4
2026-05-24,Chittaurgarh,0.0,41.0,28.5,2026-05-24T05:43,2026-05-24T19:12,05:43 AM,07:12 PM,34.75
2026-05-23,Churu,0.0,42.3,29.1,2026-05-23T05:35,2026-05-23T19:17,05:35 AM,07:17 PM,35.7
2026-05-24,Churu,0.0,43.5,27.1,2026-05-24T05:35,2026-05-24T19:18,05:35 AM,07:18 PM,35.3
2026-05-23,Dhaulpur,0.0,42.8,31.0,2026-05-23T05:27,2026-05-23T19:02,05:27 AM,07:02 PM,36.9
2026-05-24,Dhaulpur,0.0,43.0,29.2,2026-05-24T05:27,2026-05-24T19:03,05:27 AM,07:03 PM,36.1
2026-05-23,Ganganagar,0.7,41.8,26.1,2026-05-23T05:37,2026-05-23T19:25,05:37 AM,07:25 PM,33.95
2026-05-24,Ganganagar,0.0,43.3,28.2,2026-05-24T05:36,2026-05-24T19:26,05:36 AM,07:26 PM,35.75
2026-05-23,Hanumangarh,0.3,41.7,29.1,2026-05-23T05:35,2026-05-23T19:22,05:35 AM,07:22 PM,35.400000000000006
2026-05-24,Hanumangarh,0.0,43.2,27.4,2026-05-24T05:35,2026-05-24T19:23,05:35 AM,07:23 PM,35.3
2026-05-23,Jaipur,0.0,41.2,31.2,2026-05-23T05:35,2026-05-23T19:11,05:35 AM,07:11 PM,36.2
2026-05-24,Jaipur,0.0,42.0,30.5,2026-05-24T05:35,2026-05-24T19:11,05:35 AM,07:11 PM,36.25
2026-05-23,Jaisalmer,0.0,42.6,28.4,2026-05-23T05:54,2026-05-23T19:30,05:54 AM,07:30 PM,35.5
2026-05-24,Jaisalmer,0.0,41.5,26.9,2026-05-24T05:54,2026-05-24T19:31,05:54 AM,07:31 PM,34.2
2026-05-23,Jhalawar,0.0,41.6,30.5,2026-05-23T05:38,2026-05-23T19:05,05:38 AM,07:05 PM,36.05
2026-05-24,Jhalawar,0.0,42.5,30.9,2026-05-24T05:38,2026-05-24T19:06,05:38 AM,07:06 PM,36.7
2026-05-23,Jodhpur,0.0,42.0,31.0,2026-05-23T05:47,2026-05-23T19:21,05:47 AM,07:21 PM,36.5
2026-05-24,Jodhpur,0.0,41.3,30.4,2026-05-24T05:47,2026-05-24T19:21,05:47 AM,07:21 PM,35.849999999999994
2026-05-23,Kota,0.0,42.8,31.6,2026-05-23T05:38,2026-05-23T19:07,05:38 AM,07:07 PM,37.2
2026-05-24,Kota,0.0,43.0,32.7,2026-05-24T05:38,2026-05-24T19:08,05:38 AM,07:08 PM,37.85
2026-05-23,Nagaur,0.0,42.0,31.2,2026-05-23T05:43,2026-05-23T19:20,05:43 AM,07:20 PM,36.6
