date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-07,Ajmer,0.4,37.1,26.5,2026-06-07T05:37,2026-06-07T19:22,05:37 AM,07:22 PM,31.8
2026-06-08,Ajmer,0.0,37.6,28.4,2026-06-08T05:37,2026-06-08T19:23,05:37 AM,07:23 PM,33.0
2026-06-07,Alwar,0.1,38.9,26.7,2026-06-07T05:27,2026-06-07T19:17,05:27 AM,07:17 PM,32.8
2026-06-08,Alwar,0.0,40.9,29.8,2026-06-08T05:27,2026-06-08T19:17,05:27 AM,07:17 PM,35.35
2026-06-07,Banswara,0.0,37.9,27.8,2026-06-07T05:44,2026-06-07T19:17,05:44 AM,07:17 PM,32.85
2026-06-08,Banswara,0.2,37.9,27.7,2026-06-08T05:44,2026-06-08T19:17,05:44 AM,07:17 PM,32.8
2026-06-07,Barmer,0.0,40.1,27.5,2026-06-07T05:52,2026-06-07T19:34,05:52 AM,07:34 PM,33.8
2026-06-08,Barmer,0.0,39.9,27.2,2026-06-08T05:52,2026-06-08T19:34,05:52 AM,07:34 PM,33.55
2026-06-07,Bhilwara,1.1,37.8,27.4,2026-06-07T05:40,2026-06-07T19:20,05:40 AM,07:20 PM,32.599999999999994
2026-06-08,Bhilwara,0.0,38.5,27.7,2026-06-08T05:40,2026-06-08T19:20,05:40 AM,07:20 PM,33.1
2026-06-07,Bikaner,0.0,42.5,30.7,2026-06-07T05:39,2026-06-07T19:31,05:39 AM,07:31 PM,36.6
2026-06-08,Bikaner,0.0,44.0,32.3,2026-06-08T05:39,2026-06-08T19:31,05:39 AM,07:31 PM,38.15
2026-06-07,Bundi,0.2,39.7,28.1,2026-06-07T05:36,2026-06-07T19:16,05:36 AM,07:16 PM,33.900000000000006
2026-06-08,Bundi,0.0,40.5,30.0,2026-06-08T05:36,2026-06-08T19:16,05:36 AM,07:16 PM,35.25
2026-06-07,Chittaurgarh,0.1,37.2,27.5,2026-06-07T05:41,2026-06-07T19:19,05:41 AM,07:19 PM,32.35
2026-06-08,Chittaurgarh,0.0,37.2,27.2,2026-06-08T05:41,2026-06-08T19:19,05:41 AM,07:19 PM,32.2
2026-06-07,Churu,0.1,40.0,26.8,2026-06-07T05:32,2026-06-07T19:25,05:32 AM,07:25 PM,33.4
2026-06-08,Churu,0.0,41.9,30.1,2026-06-08T05:32,2026-06-08T19:25,05:32 AM,07:25 PM,36.0
2026-06-07,Dhaulpur,0.0,39.6,27.2,2026-06-07T05:24,2026-06-07T19:10,05:24 AM,07:10 PM,33.4
2026-06-08,Dhaulpur,0.2,41.5,30.0,2026-06-08T05:24,2026-06-08T19:10,05:24 AM,07:10 PM,35.75
2026-06-07,Ganganagar,0.0,42.0,28.7,2026-06-07T05:33,2026-06-07T19:33,05:33 AM,07:33 PM,35.35
2026-06-08,Ganganagar,0.0,42.7,28.9,2026-06-08T05:33,2026-06-08T19:34,05:33 AM,07:34 PM,35.8
2026-06-07,Hanumangarh,0.0,41.1,29.3,2026-06-07T05:32,2026-06-07T19:30,05:32 AM,07:30 PM,35.2
2026-06-08,Hanumangarh,0.0,42.2,28.9,2026-06-08T05:31,2026-06-08T19:31,05:31 AM,07:31 PM,35.55
2026-06-07,Jaipur,0.0,39.1,26.2,2026-06-07T05:32,2026-06-07T19:18,05:32 AM,07:18 PM,32.65
2026-06-08,Jaipur,0.0,41.0,29.9,2026-06-08T05:32,2026-06-08T19:19,05:32 AM,07:19 PM,35.45
2026-06-07,Jaisalmer,0.0,41.8,28.5,2026-06-07T05:51,2026-06-07T19:38,05:51 AM,07:38 PM,35.15
2026-06-08,Jaisalmer,0.0,41.5,28.4,2026-06-08T05:51,2026-06-08T19:38,05:51 AM,07:38 PM,34.95
2026-06-07,Jhalawar,0.4,38.7,28.4,2026-06-07T05:36,2026-06-07T19:12,05:36 AM,07:12 PM,33.55
2026-06-08,Jhalawar,0.0,39.5,29.0,2026-06-08T05:36,2026-06-08T19:13,05:36 AM,07:13 PM,34.25
2026-06-07,Jodhpur,0.0,40.2,30.1,2026-06-07T05:44,2026-06-07T19:28,05:44 AM,07:28 PM,35.150000000000006
2026-06-08,Jodhpur,0.0,40.1,30.1,2026-06-08T05:44,2026-06-08T19:29,05:44 AM,07:29 PM,35.1
2026-06-07,Kota,0.1,39.1,27.7,2026-06-07T05:35,2026-06-07T19:14,05:35 AM,07:14 PM,33.4
2026-06-08,Kota,0.1,40.5,30.0,2026-06-08T05:35,2026-06-08T19:15,05:35 AM,07:15 PM,35.25
2026-06-07,Nagaur,0.0,40.3,29.7,2026-06-07T05:39,2026-06-07T19:27,05:39 AM,07:27 PM,35.0
2026-06-08,Nagaur,0.0,41.5,30.8,2026-06-08T05:39,2026-06-08T19:28,05:39 AM,07:28 PM,36.15
2026-06-07,Pali,0.0,39.6,30.3,2026-06-07T05:44,2026-06-07T19:26,05:44 AM,07:26 PM,34.95
2026-06-08,Pali,0.0,39.8,30.0,2026-06-08T05:44,2026-06-08T19:26,05:44 AM,07:26 PM,34.9
2026-06-07,Sawai Madhopur,0.2,39.6,27.1,2026-06-07T05:32,2026-06-07T19:15,05:32 AM,07:15 PM,33.35
2026-06-08,Sawai Madhopur,0.0,40.6,29.8,2026-06-08T05:32,2026-06-08T19:15,05:32 AM,07:15 PM,35.2
2026-06-07,Sikar,0.8,37.9,25.4,2026-06-07T05:33,2026-06-07T19:23,05:33 AM,07:23 PM,31.65
2026-06-08,Sikar,0.0,39.3,29.1,2026-06-08T05:33,2026-06-08T19:23,05:33 AM,07:23 PM,34.2
2026-06-07,Sirohi,0.0,38.4,28.7,2026-06-07T05:48,2026-06-07T19:26,05:48 AM,07:26 PM,33.55
2026-06-08,Sirohi,0.0,38.5,27.9,2026-06-08T05:48,2026-06-08T19:26,05:48 AM,07:26 PM,33.2
2026-06-07,Udaipur,0.0,35.1,25.5,2026-06-07T05:46,2026-06-07T19:22,05:46 AM,07:22 PM,30.3
2026-06-08,Udaipur,0.0,35.2,24.5,2026-06-08T05:46,2026-06-08T19:23,05:46 AM,07:23 PM,29.85
