date,district,rain_mm,tmax_c,tmin_c,tavg_c
2026-05-06,Ajmer,0.0,35.5,21.8,28.65
2026-05-07,Ajmer,0.0,37.8,23.5,30.65
2026-05-06,Alwar,0.0,35.0,20.8,27.9
2026-05-07,Alwar,0.1,36.8,21.5,29.15
2026-05-06,Banswara,0.0,37.2,23.6,30.400000000000002
2026-05-07,Banswara,0.0,39.7,24.5,32.1
2026-05-06,Barmer,0.0,40.3,24.0,32.15
2026-05-07,Barmer,0.0,42.3,26.0,34.15
2026-05-06,Bhilwara,0.0,36.7,22.0,29.35
2026-05-07,Bhilwara,0.0,38.5,22.6,30.55
2026-05-06,Bikaner,0.0,38.0,23.1,30.55
2026-05-07,Bikaner,0.0,41.9,24.1,33.0
2026-05-06,Bundi,0.0,37.2,23.0,30.1
2026-05-07,Bundi,0.0,40.0,22.5,31.25
2026-05-06,Chittaurgarh,0.0,36.6,21.0,28.8
2026-05-07,Chittaurgarh,0.0,38.9,20.6,29.75
2026-05-06,Churu,0.0,35.1,20.7,27.9
2026-05-07,Churu,0.0,39.6,23.5,31.55
2026-05-06,Dhaulpur,0.0,34.8,22.0,28.4
2026-05-07,Dhaulpur,0.0,37.2,22.7,29.950000000000003
2026-05-06,Ganganagar,0.0,36.1,21.2,28.65
2026-05-07,Ganganagar,0.0,38.9,23.7,31.299999999999997
2026-05-06,Hanumangarh,0.0,36.0,21.4,28.7
2026-05-07,Hanumangarh,0.0,38.8,23.4,31.099999999999998
2026-05-06,Jaipur,0.0,35.0,21.7,28.35
2026-05-07,Jaipur,0.0,38.5,23.4,30.95
2026-05-06,Jaisalmer,0.0,39.8,26.2,33.0
2026-05-07,Jaisalmer,0.0,42.3,26.7,34.5
2026-05-06,Jhalawar,0.0,37.5,23.8,30.65
2026-05-07,Jhalawar,0.0,40.0,22.4,31.2
2026-05-06,Jodhpur,0.0,38.0,25.2,31.6
2026-05-07,Jodhpur,0.0,40.8,26.8,33.8
2026-05-06,Kota,0.0,37.5,24.1,30.8
2026-05-07,Kota,0.0,39.8,24.8,32.3
2026-05-06,Nagaur,0.0,36.9,21.6,29.25
2026-05-07,Nagaur,0.0,40.5,24.0,32.25
2026-05-06,Pali,0.0,38.3,23.3,30.799999999999997
2026-05-07,Pali,0.0,40.7,25.9,33.3
2026-05-06,Sawai Madhopur,0.0,35.6,22.2,28.9
2026-05-07,Sawai Madhopur,0.0,39.0,22.7,30.85
2026-05-06,Sikar,0.0,34.7,19.9,27.3
2026-05-07,Sikar,0.0,38.3,22.6,30.45
2026-05-06,Sirohi,0.0,37.9,23.8,30.85
2026-05-07,Sirohi,0.0,39.4,25.8,32.6
2026-05-06,Udaipur,0.0,34.9,21.7,28.299999999999997
2026-05-07,Udaipur,0.0,37.1,23.1,30.1
