date,district,rain_mm,tmax_c,tmin_c,tavg_c
2026-05-10,Ajmer,0.0,39.8,25.6,32.7
2026-05-11,Ajmer,0.0,41.0,26.4,33.7
2026-05-10,Alwar,0.0,36.2,24.5,30.35
2026-05-11,Alwar,0.0,38.8,24.3,31.549999999999997
2026-05-10,Banswara,0.0,42.1,26.7,34.4
2026-05-11,Banswara,0.0,42.7,26.4,34.55
2026-05-10,Barmer,0.0,44.3,27.9,36.099999999999994
2026-05-11,Barmer,0.0,44.7,28.5,36.6
2026-05-10,Bhilwara,0.0,40.1,25.9,33.0
2026-05-11,Bhilwara,0.0,41.8,25.9,33.849999999999994
2026-05-10,Bikaner,0.0,42.2,27.9,35.05
2026-05-11,Bikaner,0.0,44.2,29.0,36.6
2026-05-10,Bundi,0.0,40.0,25.3,32.65
2026-05-11,Bundi,0.0,41.2,26.0,33.6
2026-05-10,Chittaurgarh,0.0,40.2,24.1,32.150000000000006
2026-05-11,Chittaurgarh,0.0,41.6,25.1,33.35
2026-05-10,Churu,0.0,39.2,25.2,32.2
2026-05-11,Churu,0.0,41.8,27.4,34.599999999999994
2026-05-10,Dhaulpur,0.0,37.2,24.7,30.950000000000003
2026-05-11,Dhaulpur,0.0,37.8,25.8,31.799999999999997
2026-05-10,Ganganagar,0.0,40.6,26.4,33.5
2026-05-11,Ganganagar,0.0,42.5,28.2,35.35
2026-05-10,Hanumangarh,0.0,39.8,25.8,32.8
2026-05-11,Hanumangarh,0.0,42.5,27.9,35.2
2026-05-10,Jaipur,0.0,38.1,25.5,31.8
2026-05-11,Jaipur,0.0,39.4,26.5,32.95
2026-05-10,Jaisalmer,0.0,43.6,27.9,35.75
2026-05-11,Jaisalmer,0.0,44.3,28.8,36.55
2026-05-10,Jhalawar,0.0,40.6,25.9,33.25
2026-05-11,Jhalawar,0.0,41.2,26.8,34.0
2026-05-10,Jodhpur,0.0,43.2,29.5,36.35
2026-05-11,Jodhpur,0.0,43.5,28.5,36.0
2026-05-10,Kota,0.0,40.5,25.7,33.1
2026-05-11,Kota,0.0,41.3,27.0,34.15
2026-05-10,Nagaur,0.0,41.3,26.6,33.95
2026-05-11,Nagaur,0.0,42.7,28.1,35.400000000000006
2026-05-10,Pali,0.0,42.8,28.6,35.7
2026-05-11,Pali,0.0,42.9,28.1,35.5
2026-05-10,Sawai Madhopur,0.0,38.0,24.6,31.3
2026-05-11,Sawai Madhopur,0.0,39.4,26.5,32.95
2026-05-10,Sikar,0.0,38.8,24.7,31.75
2026-05-11,Sikar,0.0,40.6,26.4,33.5
2026-05-10,Sirohi,0.0,42.0,29.0,35.5
2026-05-11,Sirohi,0.0,42.4,28.9,35.65
2026-05-10,Udaipur,0.0,39.6,26.1,32.85
2026-05-11,Udaipur,0.0,40.0,25.8,32.9
