date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-07-20,Ajmer,0.0,32.2,27.8,2026-07-20T05:50,2026-07-20T19:25,05:50 AM,07:25 PM,30.0
2026-07-21,Ajmer,5.3,31.6,25.7,2026-07-21T05:51,2026-07-21T19:24,05:51 AM,07:24 PM,28.65
2026-07-20,Alwar,18.6,30.4,26.2,2026-07-20T05:40,2026-07-20T19:19,05:40 AM,07:19 PM,28.299999999999997
2026-07-21,Alwar,40.1,29.1,25.1,2026-07-21T05:41,2026-07-21T19:18,05:41 AM,07:18 PM,27.1
2026-07-20,Banswara,4.5,31.5,25.3,2026-07-20T05:56,2026-07-20T19:20,05:56 AM,07:20 PM,28.4
2026-07-21,Banswara,8.1,28.8,24.6,2026-07-21T05:57,2026-07-21T19:20,05:57 AM,07:20 PM,26.700000000000003
2026-07-20,Barmer,0.0,34.1,27.9,2026-07-20T06:04,2026-07-20T19:36,06:04 AM,07:36 PM,31.0
2026-07-21,Barmer,0.0,33.9,27.1,2026-07-21T06:05,2026-07-21T19:36,06:05 AM,07:36 PM,30.5
2026-07-20,Bhilwara,7.0,31.1,26.3,2026-07-20T05:52,2026-07-20T19:23,05:52 AM,07:23 PM,28.700000000000003
2026-07-21,Bhilwara,7.2,29.1,25.2,2026-07-21T05:53,2026-07-21T19:22,05:53 AM,07:22 PM,27.15
2026-07-20,Bikaner,0.0,39.5,31.4,2026-07-20T05:52,2026-07-20T19:33,05:52 AM,07:33 PM,35.45
2026-07-21,Bikaner,1.1,39.2,29.4,2026-07-21T05:53,2026-07-21T19:32,05:53 AM,07:32 PM,34.3
2026-07-20,Bundi,1.3,32.8,26.6,2026-07-20T05:48,2026-07-20T19:18,05:48 AM,07:18 PM,29.7
2026-07-21,Bundi,20.1,29.7,26.1,2026-07-21T05:48,2026-07-21T19:18,05:48 AM,07:18 PM,27.9
2026-07-20,Chittaurgarh,1.1,30.9,26.5,2026-07-20T05:53,2026-07-20T19:22,05:53 AM,07:22 PM,28.7
2026-07-21,Chittaurgarh,2.7,30.2,25.0,2026-07-21T05:54,2026-07-21T19:21,05:54 AM,07:21 PM,27.6
2026-07-20,Churu,1.2,37.3,30.7,2026-07-20T05:45,2026-07-20T19:27,05:45 AM,07:27 PM,34.0
2026-07-21,Churu,17.4,33.9,26.8,2026-07-21T05:45,2026-07-21T19:26,05:45 AM,07:26 PM,30.35
2026-07-20,Dhaulpur,14.6,30.5,26.3,2026-07-20T05:37,2026-07-20T19:12,05:37 AM,07:12 PM,28.4
2026-07-21,Dhaulpur,49.6,27.6,25.5,2026-07-21T05:37,2026-07-21T19:12,05:37 AM,07:12 PM,26.55
2026-07-20,Ganganagar,0.2,38.9,32.3,2026-07-20T05:46,2026-07-20T19:35,05:46 AM,07:35 PM,35.599999999999994
2026-07-21,Ganganagar,1.7,37.0,28.8,2026-07-21T05:47,2026-07-21T19:34,05:47 AM,07:34 PM,32.9
2026-07-20,Hanumangarh,0.1,38.2,32.2,2026-07-20T05:45,2026-07-20T19:32,05:45 AM,07:32 PM,35.2
2026-07-21,Hanumangarh,6.3,35.7,29.1,2026-07-21T05:45,2026-07-21T19:31,05:45 AM,07:31 PM,32.400000000000006
2026-07-20,Jaipur,1.1,33.2,30.0,2026-07-20T05:44,2026-07-20T19:21,05:44 AM,07:21 PM,31.6
2026-07-21,Jaipur,17.8,30.2,25.7,2026-07-21T05:45,2026-07-21T19:20,05:45 AM,07:20 PM,27.95
2026-07-20,Jaisalmer,0.1,37.1,28.5,2026-07-20T06:04,2026-07-20T19:40,06:04 AM,07:40 PM,32.8
2026-07-21,Jaisalmer,0.0,37.0,28.3,2026-07-21T06:05,2026-07-21T19:40,06:05 AM,07:40 PM,32.65
2026-07-20,Jhalawar,7.4,32.0,25.3,2026-07-20T05:48,2026-07-20T19:15,05:48 AM,07:15 PM,28.65
2026-07-21,Jhalawar,15.2,27.5,25.1,2026-07-21T05:48,2026-07-21T19:15,05:48 AM,07:15 PM,26.3
2026-07-20,Jodhpur,0.2,36.0,29.5,2026-07-20T05:57,2026-07-20T19:31,05:57 AM,07:31 PM,32.75
2026-07-21,Jodhpur,0.0,35.7,28.4,2026-07-21T05:57,2026-07-21T19:30,05:57 AM,07:30 PM,32.05
2026-07-20,Kota,5.2,33.1,25.8,2026-07-20T05:47,2026-07-20T19:17,05:47 AM,07:17 PM,29.450000000000003
2026-07-21,Kota,14.7,29.3,25.9,2026-07-21T05:48,2026-07-21T19:17,05:48 AM,07:17 PM,27.6
2026-07-20,Nagaur,0.0,36.2,30.2,2026-07-20T05:52,2026-07-20T19:30,05:52 AM,07:30 PM,33.2
2026-07-21,Nagaur,4.0,35.7,28.1,2026-07-21T05:53,2026-07-21T19:29,05:53 AM,07:29 PM,31.900000000000002
2026-07-20,Pali,0.9,35.4,28.3,2026-07-20T05:57,2026-07-20T19:28,05:57 AM,07:28 PM,31.85
