date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-08-20,Ajmer,0.0,30.0,24.1,2026-08-20T06:05,2026-08-20T19:03,06:05 AM,07:03 PM,27.05
2026-08-21,Ajmer,0.0,30.8,23.7,2026-08-21T06:06,2026-08-21T19:02,06:06 AM,07:02 PM,27.25
2026-08-20,Alwar,1.6,33.5,27.0,2026-08-20T05:56,2026-08-20T18:57,05:56 AM,06:57 PM,30.25
2026-08-21,Alwar,1.8,33.7,26.8,2026-08-21T05:57,2026-08-21T18:56,05:57 AM,06:56 PM,30.25
2026-08-20,Banswara,1.3,30.0,24.2,2026-08-20T06:09,2026-08-20T19:01,06:09 AM,07:01 PM,27.1
2026-08-21,Banswara,1.7,29.6,24.0,2026-08-21T06:10,2026-08-21T19:00,06:10 AM,07:00 PM,26.8
2026-08-20,Barmer,0.0,33.5,24.5,2026-08-20T06:19,2026-08-20T19:16,06:19 AM,07:16 PM,29.0
2026-08-21,Barmer,0.0,33.4,24.4,2026-08-21T06:20,2026-08-21T19:15,06:20 AM,07:15 PM,28.9
2026-08-20,Bhilwara,0.2,30.9,24.2,2026-08-20T06:07,2026-08-20T19:02,06:07 AM,07:02 PM,27.549999999999997
2026-08-21,Bhilwara,0.0,30.9,23.9,2026-08-21T06:07,2026-08-21T19:01,06:07 AM,07:01 PM,27.4
2026-08-20,Bikaner,0.0,36.3,27.7,2026-08-20T06:09,2026-08-20T19:10,06:09 AM,07:10 PM,32.0
2026-08-21,Bikaner,0.0,37.0,27.3,2026-08-21T06:09,2026-08-21T19:09,06:09 AM,07:09 PM,32.15
2026-08-20,Bundi,0.5,32.5,25.2,2026-08-20T06:02,2026-08-20T18:58,06:02 AM,06:58 PM,28.85
2026-08-21,Bundi,0.1,32.7,25.5,2026-08-21T06:03,2026-08-21T18:57,06:03 AM,06:57 PM,29.1
2026-08-20,Chittaurgarh,1.1,30.2,24.1,2026-08-20T06:07,2026-08-20T19:02,06:07 AM,07:02 PM,27.15
2026-08-21,Chittaurgarh,0.3,30.2,24.0,2026-08-21T06:08,2026-08-21T19:01,06:08 AM,07:01 PM,27.1
2026-08-20,Churu,0.3,35.2,27.1,2026-08-20T06:02,2026-08-20T19:04,06:02 AM,07:04 PM,31.150000000000002
2026-08-21,Churu,0.3,36.1,27.1,2026-08-21T06:02,2026-08-21T19:03,06:02 AM,07:03 PM,31.6
2026-08-20,Dhaulpur,3.6,33.1,27.3,2026-08-20T05:52,2026-08-20T18:51,05:52 AM,06:51 PM,30.200000000000003
2026-08-21,Dhaulpur,9.3,32.8,25.9,2026-08-21T05:53,2026-08-21T18:50,05:53 AM,06:50 PM,29.349999999999998
2026-08-20,Ganganagar,0.3,37.5,29.8,2026-08-20T06:04,2026-08-20T19:11,06:04 AM,07:11 PM,33.65
2026-08-21,Ganganagar,0.2,37.7,29.7,2026-08-21T06:05,2026-08-21T19:09,06:05 AM,07:09 PM,33.7
2026-08-20,Hanumangarh,0.2,35.9,29.2,2026-08-20T06:03,2026-08-20T19:08,06:03 AM,07:08 PM,32.55
2026-08-21,Hanumangarh,0.0,36.2,29.2,2026-08-21T06:03,2026-08-21T19:07,06:03 AM,07:07 PM,32.7
2026-08-20,Jaipur,0.2,32.6,25.2,2026-08-20T06:00,2026-08-20T18:59,06:00 AM,06:59 PM,28.9
2026-08-21,Jaipur,0.1,32.7,25.1,2026-08-21T06:01,2026-08-21T18:58,06:01 AM,06:58 PM,28.900000000000002
2026-08-20,Jaisalmer,0.0,32.6,23.9,2026-08-20T06:20,2026-08-20T19:19,06:20 AM,07:19 PM,28.25
2026-08-21,Jaisalmer,0.0,32.7,24.2,2026-08-21T06:20,2026-08-21T19:18,06:20 AM,07:18 PM,28.450000000000003
2026-08-20,Jhalawar,0.7,31.6,25.3,2026-08-20T06:01,2026-08-20T18:55,06:01 AM,06:55 PM,28.450000000000003
2026-08-21,Jhalawar,2.2,31.8,25.2,2026-08-21T06:02,2026-08-21T18:54,06:02 AM,06:54 PM,28.5
2026-08-20,Jodhpur,0.0,32.7,25.8,2026-08-20T06:12,2026-08-20T19:10,06:12 AM,07:10 PM,29.25
2026-08-21,Jodhpur,0.1,31.7,25.6,2026-08-21T06:13,2026-08-21T19:09,06:13 AM,07:09 PM,28.65
2026-08-20,Kota,0.0,31.8,25.7,2026-08-20T06:02,2026-08-20T18:57,06:02 AM,06:57 PM,28.75
2026-08-21,Kota,0.3,32.5,25.9,2026-08-21T06:02,2026-08-21T18:56,06:02 AM,06:56 PM,29.2
2026-08-20,Nagaur,0.0,32.6,26.6,2026-08-20T06:08,2026-08-20T19:08,06:08 AM,07:08 PM,29.6
2026-08-21,Nagaur,0.0,33.6,25.7,2026-08-21T06:09,2026-08-21T19:07,06:09 AM,07:07 PM,29.65
2026-08-20,Pali,0.0,32.4,25.9,2026-08-20T06:11,2026-08-20T19:08,06:11 AM,07:08 PM,29.15
2026-08-21,Pali,0.0,31.1,26.0,2026-08-21T06:12,2026-08-21T19:07,06:12 AM,07:07 PM,28.55
2026-08-20,Sawai Madhopur,0.1,32.9,26.6,2026-08-20T05:59,2026-08-20T18:56,05:59 AM,06:56 PM,29.75
2026-08-21,Sawai Madhopur,0.4,33.1,26.8,2026-08-21T06:00,2026-08-21T18:55,06:00 AM,06:55 PM,29.950000000000003
2026-08-20,Sikar,0.1,32.3,25.1,2026-08-20T06:02,2026-08-20T19:03,06:02 AM,07:03 PM,28.7
2026-08-21,Sikar,0.1,32.5,24.7,2026-08-21T06:02,2026-08-21T19:02,06:02 AM,07:02 PM,28.6
2026-08-20,Sirohi,0.0,30.0,23.6,2026-08-20T06:14,2026-08-20T19:09,06:14 AM,07:09 PM,26.8
2026-08-21,Sirohi,0.1,29.5,24.6,2026-08-21T06:15,2026-08-21T19:08,06:15 AM,07:08 PM,27.05
2026-08-20,Udaipur,0.0,28.8,21.9,2026-08-20T06:12,2026-08-20T19:05,06:12 AM,07:05 PM,25.35
2026-08-21,Udaipur,0.0,27.2,22.3,2026-08-21T06:12,2026-08-21T19:04,06:12 AM,07:04 PM,24.75
