date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-07-07,Ajmer,17.7,31.6,25.3,2026-07-07T05:44,2026-07-07T19:28,05:44 AM,07:28 PM,28.450000000000003
2026-07-08,Ajmer,12.2,33.7,24.4,2026-07-08T05:44,2026-07-08T19:28,05:44 AM,07:28 PM,29.05
2026-07-07,Alwar,13.6,34.8,26.6,2026-07-07T05:34,2026-07-07T19:22,05:34 AM,07:22 PM,30.7
2026-07-08,Alwar,4.4,33.9,27.3,2026-07-08T05:34,2026-07-08T19:22,05:34 AM,07:22 PM,30.6
2026-07-07,Banswara,21.1,31.9,26.2,2026-07-07T05:51,2026-07-07T19:22,05:51 AM,07:22 PM,29.049999999999997
2026-07-08,Banswara,8.7,29.8,25.8,2026-07-08T05:51,2026-07-08T19:22,05:51 AM,07:22 PM,27.8
2026-07-07,Barmer,0.1,36.2,27.2,2026-07-07T05:58,2026-07-07T19:39,05:58 AM,07:39 PM,31.700000000000003
2026-07-08,Barmer,0.0,38.9,28.9,2026-07-08T05:59,2026-07-08T19:39,05:59 AM,07:39 PM,33.9
2026-07-07,Bhilwara,5.5,32.0,27.5,2026-07-07T05:46,2026-07-07T19:25,05:46 AM,07:25 PM,29.75
2026-07-08,Bhilwara,22.9,32.2,24.4,2026-07-08T05:47,2026-07-08T19:25,05:47 AM,07:25 PM,28.3
2026-07-07,Bikaner,0.0,41.1,29.7,2026-07-07T05:46,2026-07-07T19:36,05:46 AM,07:36 PM,35.4
2026-07-08,Bikaner,1.1,42.3,31.8,2026-07-08T05:46,2026-07-08T19:36,05:46 AM,07:36 PM,37.05
2026-07-07,Bundi,8.5,33.6,26.9,2026-07-07T05:42,2026-07-07T19:21,05:42 AM,07:21 PM,30.25
2026-07-08,Bundi,16.3,34.2,25.6,2026-07-08T05:42,2026-07-08T19:21,05:42 AM,07:21 PM,29.900000000000002
2026-07-07,Chittaurgarh,8.8,31.5,26.6,2026-07-07T05:47,2026-07-07T19:25,05:47 AM,07:25 PM,29.05
2026-07-08,Chittaurgarh,13.1,30.9,25.6,2026-07-08T05:48,2026-07-08T19:24,05:48 AM,07:24 PM,28.25
2026-07-07,Churu,1.3,36.5,26.9,2026-07-07T05:38,2026-07-07T19:30,05:38 AM,07:30 PM,31.7
2026-07-08,Churu,0.1,39.0,29.4,2026-07-08T05:39,2026-07-08T19:30,05:39 AM,07:30 PM,34.2
2026-07-07,Dhaulpur,15.8,35.6,26.9,2026-07-07T05:31,2026-07-07T19:15,05:31 AM,07:15 PM,31.25
2026-07-08,Dhaulpur,19.9,30.9,26.7,2026-07-08T05:31,2026-07-08T19:15,05:31 AM,07:15 PM,28.799999999999997
2026-07-07,Ganganagar,0.2,40.3,32.2,2026-07-07T05:39,2026-07-07T19:39,05:39 AM,07:39 PM,36.25
2026-07-08,Ganganagar,0.0,40.3,31.0,2026-07-08T05:40,2026-07-08T19:38,05:40 AM,07:38 PM,35.65
2026-07-07,Hanumangarh,0.2,38.9,31.3,2026-07-07T05:38,2026-07-07T19:36,05:38 AM,07:36 PM,35.1
2026-07-08,Hanumangarh,0.0,38.8,30.3,2026-07-08T05:39,2026-07-08T19:36,05:39 AM,07:36 PM,34.55
2026-07-07,Jaipur,2.8,33.3,26.9,2026-07-07T05:38,2026-07-07T19:24,05:38 AM,07:24 PM,30.099999999999998
2026-07-08,Jaipur,7.8,34.5,24.4,2026-07-08T05:39,2026-07-08T19:24,05:39 AM,07:24 PM,29.45
2026-07-07,Jaisalmer,0.0,38.4,29.3,2026-07-07T05:58,2026-07-07T19:43,05:58 AM,07:43 PM,33.85
2026-07-08,Jaisalmer,0.0,41.9,29.8,2026-07-08T05:58,2026-07-08T19:43,05:58 AM,07:43 PM,35.85
