date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-09-05,Ajmer,8.2,29.1,23.4,2026-09-05T06:12,2026-09-05T18:47,06:12 AM,06:47 PM,26.25
2026-09-06,Ajmer,0.2,31.8,24.7,2026-09-06T06:13,2026-09-06T18:46,06:13 AM,06:46 PM,28.25
2026-09-05,Alwar,42.7,26.9,23.9,2026-09-05T06:04,2026-09-05T18:40,06:04 AM,06:40 PM,25.4
2026-09-06,Alwar,2.5,31.2,24.3,2026-09-06T06:04,2026-09-06T18:39,06:04 AM,06:39 PM,27.75
2026-09-05,Banswara,0.4,30.1,24.9,2026-09-05T06:15,2026-09-05T18:46,06:15 AM,06:46 PM,27.5
2026-09-06,Banswara,1.3,29.6,24.9,2026-09-06T06:15,2026-09-06T18:45,06:15 AM,06:45 PM,27.25
2026-09-05,Barmer,0.0,34.0,25.0,2026-09-05T06:26,2026-09-05T19:00,06:26 AM,07:00 PM,29.5
2026-09-06,Barmer,0.0,33.7,24.6,2026-09-06T06:26,2026-09-06T18:59,06:26 AM,06:59 PM,29.150000000000002
2026-09-05,Bhilwara,14.7,28.3,23.5,2026-09-05T06:13,2026-09-05T18:46,06:13 AM,06:46 PM,25.9
2026-09-06,Bhilwara,5.3,31.5,23.5,2026-09-06T06:14,2026-09-06T18:45,06:14 AM,06:45 PM,27.5
2026-09-05,Bikaner,0.2,37.9,29.9,2026-09-05T06:17,2026-09-05T18:53,06:17 AM,06:53 PM,33.9
2026-09-06,Bikaner,0.5,38.7,28.7,2026-09-06T06:17,2026-09-06T18:52,06:17 AM,06:52 PM,33.7
2026-09-05,Bundi,21.4,26.5,24.2,2026-09-05T06:09,2026-09-05T18:42,06:09 AM,06:42 PM,25.35
2026-09-06,Bundi,3.1,32.1,23.8,2026-09-06T06:09,2026-09-06T18:41,06:09 AM,06:41 PM,27.950000000000003
2026-09-05,Chittaurgarh,8.4,26.7,23.5,2026-09-05T06:13,2026-09-05T18:46,06:13 AM,06:46 PM,25.1
2026-09-06,Chittaurgarh,11.1,29.5,23.8,2026-09-06T06:14,2026-09-06T18:45,06:14 AM,06:45 PM,26.65
2026-09-05,Churu,1.2,34.8,26.9,2026-09-05T06:10,2026-09-05T18:47,06:10 AM,06:47 PM,30.849999999999998
2026-09-06,Churu,0.0,35.3,25.3,2026-09-06T06:10,2026-09-06T18:46,06:10 AM,06:46 PM,30.299999999999997
2026-09-05,Dhaulpur,22.8,32.1,24.6,2026-09-05T05:59,2026-09-05T18:34,05:59 AM,06:34 PM,28.35
2026-09-06,Dhaulpur,33.9,28.1,24.1,2026-09-06T06:00,2026-09-06T18:33,06:00 AM,06:33 PM,26.1
2026-09-05,Ganganagar,1.2,35.5,27.9,2026-09-05T06:13,2026-09-05T18:52,06:13 AM,06:52 PM,31.7
2026-09-06,Ganganagar,6.1,34.5,24.1,2026-09-06T06:14,2026-09-06T18:51,06:14 AM,06:51 PM,29.3
2026-09-05,Hanumangarh,0.4,34.2,28.1,2026-09-05T06:11,2026-09-05T18:50,06:11 AM,06:50 PM,31.150000000000002
2026-09-06,Hanumangarh,4.3,33.1,24.4,2026-09-06T06:12,2026-09-06T18:49,06:12 AM,06:49 PM,28.75
2026-09-05,Jaipur,31.4,26.7,23.3,2026-09-05T06:07,2026-09-05T18:43,06:07 AM,06:43 PM,25.0
2026-09-06,Jaipur,1.4,31.7,24.2,2026-09-06T06:08,2026-09-06T18:41,06:08 AM,06:41 PM,27.95
2026-09-05,Jaisalmer,0.0,34.6,24.7,2026-09-05T06:27,2026-09-05T19:02,06:27 AM,07:02 PM,29.65
2026-09-06,Jaisalmer,0.0,35.4,24.4,2026-09-06T06:27,2026-09-06T19:01,06:27 AM,07:01 PM,29.9
2026-09-05,Jhalawar,10.7,28.4,23.8,2026-09-05T06:08,2026-09-05T18:40,06:08 AM,06:40 PM,26.1
2026-09-06,Jhalawar,12.6,28.9,23.3,2026-09-06T06:08,2026-09-06T18:39,06:08 AM,06:39 PM,26.1
2026-09-05,Jodhpur,0.0,33.6,27.1,2026-09-05T06:19,2026-09-05T18:53,06:19 AM,06:53 PM,30.35
2026-09-06,Jodhpur,0.0,35.8,26.7,2026-09-06T06:19,2026-09-06T18:52,06:19 AM,06:52 PM,31.25
