date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-06,Ajmer,0.6,36.7,27.1,2026-06-06T05:38,2026-06-06T19:22,05:38 AM,07:22 PM,31.900000000000002
2026-06-07,Ajmer,0.1,38.4,27.1,2026-06-07T05:37,2026-06-07T19:22,05:37 AM,07:22 PM,32.75
2026-06-06,Alwar,0.1,39.1,26.5,2026-06-06T05:27,2026-06-06T19:16,05:27 AM,07:16 PM,32.8
2026-06-07,Alwar,1.2,39.6,27.5,2026-06-07T05:27,2026-06-07T19:17,05:27 AM,07:17 PM,33.55
2026-06-06,Banswara,0.5,36.9,28.1,2026-06-06T05:44,2026-06-06T19:16,05:44 AM,07:16 PM,32.5
2026-06-07,Banswara,0.0,38.6,28.4,2026-06-07T05:44,2026-06-07T19:17,05:44 AM,07:17 PM,33.5
2026-06-06,Barmer,0.0,40.7,28.8,2026-06-06T05:52,2026-06-06T19:33,05:52 AM,07:33 PM,34.75
2026-06-07,Barmer,0.0,41.0,27.5,2026-06-07T05:52,2026-06-07T19:34,05:52 AM,07:34 PM,34.25
2026-06-06,Bhilwara,1.6,38.1,27.1,2026-06-06T05:40,2026-06-06T19:19,05:40 AM,07:19 PM,32.6
2026-06-07,Bhilwara,0.3,39.6,25.4,2026-06-07T05:40,2026-06-07T19:20,05:40 AM,07:20 PM,32.5
2026-06-06,Bikaner,8.7,41.5,27.4,2026-06-06T05:39,2026-06-06T19:30,05:39 AM,07:30 PM,34.45
2026-06-07,Bikaner,0.0,42.1,29.8,2026-06-07T05:39,2026-06-07T19:31,05:39 AM,07:31 PM,35.95
2026-06-06,Bundi,1.6,38.7,25.9,2026-06-06T05:36,2026-06-06T19:15,05:36 AM,07:15 PM,32.3
2026-06-07,Bundi,0.3,40.1,26.1,2026-06-07T05:36,2026-06-07T19:16,05:36 AM,07:16 PM,33.1
2026-06-06,Chittaurgarh,0.8,36.9,26.9,2026-06-06T05:41,2026-06-06T19:19,05:41 AM,07:19 PM,31.9
2026-06-07,Chittaurgarh,3.2,38.7,24.4,2026-06-07T05:41,2026-06-07T19:19,05:41 AM,07:19 PM,31.55
2026-06-06,Churu,0.1,40.1,27.7,2026-06-06T05:32,2026-06-06T19:24,05:32 AM,07:24 PM,33.9
2026-06-07,Churu,0.2,41.4,27.7,2026-06-07T05:32,2026-06-07T19:25,05:32 AM,07:25 PM,34.55
2026-06-06,Dhaulpur,0.0,39.6,26.4,2026-06-06T05:24,2026-06-06T19:09,05:24 AM,07:09 PM,33.0
2026-06-07,Dhaulpur,0.2,41.3,29.1,2026-06-07T05:24,2026-06-07T19:10,05:24 AM,07:10 PM,35.2
2026-06-06,Ganganagar,0.0,40.5,27.9,2026-06-06T05:33,2026-06-06T19:33,05:33 AM,07:33 PM,34.2
2026-06-07,Ganganagar,0.0,42.0,28.6,2026-06-07T05:33,2026-06-07T19:33,05:33 AM,07:33 PM,35.3
2026-06-06,Hanumangarh,0.0,40.4,28.8,2026-06-06T05:32,2026-06-06T19:30,05:32 AM,07:30 PM,34.6
2026-06-07,Hanumangarh,0.2,41.2,28.7,2026-06-07T05:32,2026-06-07T19:30,05:32 AM,07:30 PM,34.95
2026-06-06,Jaipur,0.6,39.6,27.1,2026-06-06T05:32,2026-06-06T19:18,05:32 AM,07:18 PM,33.35
2026-06-07,Jaipur,0.1,40.5,27.5,2026-06-07T05:32,2026-06-07T19:18,05:32 AM,07:18 PM,34.0
2026-06-06,Jaisalmer,0.0,42.0,29.6,2026-06-06T05:51,2026-06-06T19:37,05:51 AM,07:37 PM,35.8
2026-06-07,Jaisalmer,0.0,42.1,28.5,2026-06-07T05:51,2026-06-07T19:38,05:51 AM,07:38 PM,35.3
