date,district,rain_mm,tmax_c,tmin_c,tavg_c
2026-05-08,Ajmer,0.1,38.8,24.1,31.45
2026-05-09,Ajmer,0.0,38.8,24.0,31.4
2026-05-08,Alwar,0.0,34.0,21.0,27.5
2026-05-09,Alwar,0.0,35.5,22.7,29.1
2026-05-08,Banswara,0.0,40.3,25.1,32.7
2026-05-09,Banswara,0.0,40.9,25.1,33.0
2026-05-08,Barmer,0.0,43.0,25.0,34.0
2026-05-09,Barmer,0.0,42.8,26.5,34.65
2026-05-08,Bhilwara,0.0,40.3,22.5,31.4
2026-05-09,Bhilwara,0.0,39.2,23.1,31.150000000000002
2026-05-08,Bikaner,0.0,40.2,24.8,32.5
2026-05-09,Bikaner,0.0,40.8,26.5,33.65
2026-05-08,Bundi,0.0,41.0,25.2,33.1
2026-05-09,Bundi,0.0,39.0,24.6,31.8
2026-05-08,Chittaurgarh,0.0,39.7,22.7,31.200000000000003
2026-05-09,Chittaurgarh,0.0,39.2,23.1,31.150000000000002
2026-05-08,Churu,0.0,36.7,22.2,29.450000000000003
2026-05-09,Churu,0.0,38.4,23.2,30.799999999999997
2026-05-08,Dhaulpur,0.0,36.5,22.0,29.25
2026-05-09,Dhaulpur,0.0,36.0,24.0,30.0
2026-05-08,Ganganagar,0.0,37.6,24.1,30.85
2026-05-09,Ganganagar,0.0,39.5,24.5,32.0
2026-05-08,Hanumangarh,0.0,37.3,23.7,30.5
2026-05-09,Hanumangarh,0.0,39.5,23.5,31.5
2026-05-08,Jaipur,0.0,37.8,21.9,29.849999999999998
2026-05-09,Jaipur,0.0,37.6,24.3,30.950000000000003
2026-05-08,Jaisalmer,0.0,41.8,26.8,34.3
2026-05-09,Jaisalmer,0.0,42.8,27.9,35.349999999999994
2026-05-08,Jhalawar,0.0,40.5,25.2,32.85
2026-05-09,Jhalawar,0.0,40.0,24.1,32.05
2026-05-08,Jodhpur,0.0,41.4,27.6,34.5
2026-05-09,Jodhpur,0.0,41.6,26.8,34.2
2026-05-08,Kota,0.0,40.9,25.5,33.2
2026-05-09,Kota,0.0,39.5,24.3,31.9
2026-05-08,Nagaur,0.0,40.1,27.1,33.6
2026-05-09,Nagaur,0.0,39.9,25.8,32.85
2026-05-08,Pali,0.0,41.3,26.2,33.75
2026-05-09,Pali,0.0,40.7,27.4,34.05
2026-05-08,Sawai Madhopur,0.0,39.0,22.4,30.7
2026-05-09,Sawai Madhopur,0.0,37.5,24.0,30.75
2026-05-08,Sikar,0.0,37.5,22.6,30.05
2026-05-09,Sikar,0.0,38.0,23.5,30.75
2026-05-08,Sirohi,0.0,40.5,26.8,33.65
2026-05-09,Sirohi,0.0,40.0,26.6,33.3
2026-05-08,Udaipur,0.0,38.0,23.3,30.65
2026-05-09,Udaipur,0.0,37.9,24.4,31.15
