date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-08-14,Ajmer,3.7,30.0,24.5,2026-08-14T06:03,2026-08-14T19:09,06:03 AM,07:09 PM,27.25
2026-08-15,Ajmer,1.3,30.7,24.7,2026-08-15T06:03,2026-08-15T19:08,06:03 AM,07:08 PM,27.7
2026-08-14,Alwar,26.9,31.3,26.4,2026-08-14T05:53,2026-08-14T19:02,05:53 AM,07:02 PM,28.85
2026-08-15,Alwar,3.5,32.5,25.9,2026-08-15T05:54,2026-08-15T19:01,05:54 AM,07:01 PM,29.2
2026-08-14,Banswara,3.2,29.5,24.3,2026-08-14T06:07,2026-08-14T19:06,06:07 AM,07:06 PM,26.9
2026-08-15,Banswara,4.0,27.8,24.5,2026-08-15T06:07,2026-08-15T19:05,06:07 AM,07:05 PM,26.15
2026-08-14,Barmer,0.0,32.8,26.3,2026-08-14T06:17,2026-08-14T19:21,06:17 AM,07:21 PM,29.549999999999997
2026-08-15,Barmer,0.0,31.4,25.2,2026-08-15T06:17,2026-08-15T19:20,06:17 AM,07:20 PM,28.299999999999997
2026-08-14,Bhilwara,5.5,30.3,24.4,2026-08-14T06:04,2026-08-14T19:07,06:04 AM,07:07 PM,27.35
2026-08-15,Bhilwara,5.4,30.5,24.7,2026-08-15T06:05,2026-08-15T19:07,06:05 AM,07:07 PM,27.6
2026-08-14,Bikaner,0.1,35.4,27.9,2026-08-14T06:06,2026-08-14T19:16,06:06 AM,07:16 PM,31.65
2026-08-15,Bikaner,0.2,35.3,27.7,2026-08-15T06:06,2026-08-15T19:15,06:06 AM,07:15 PM,31.5
2026-08-14,Bundi,1.6,32.0,25.8,2026-08-14T06:00,2026-08-14T19:03,06:00 AM,07:03 PM,28.9
2026-08-15,Bundi,16.2,30.9,25.5,2026-08-15T06:00,2026-08-15T19:02,06:00 AM,07:02 PM,28.2
2026-08-14,Chittaurgarh,5.9,29.9,24.0,2026-08-14T06:05,2026-08-14T19:07,06:05 AM,07:07 PM,26.95
2026-08-15,Chittaurgarh,10.4,29.4,24.1,2026-08-15T06:05,2026-08-15T19:06,06:05 AM,07:06 PM,26.75
2026-08-14,Churu,0.6,33.8,27.7,2026-08-14T05:59,2026-08-14T19:10,05:59 AM,07:10 PM,30.75
2026-08-15,Churu,1.8,34.1,27.2,2026-08-15T05:59,2026-08-15T19:09,05:59 AM,07:09 PM,30.65
2026-08-14,Dhaulpur,6.2,32.3,27.0,2026-08-14T05:49,2026-08-14T18:56,05:49 AM,06:56 PM,29.65
2026-08-15,Dhaulpur,0.8,32.7,26.5,2026-08-15T05:50,2026-08-15T18:55,05:50 AM,06:55 PM,29.6
2026-08-14,Ganganagar,0.3,35.9,29.2,2026-08-14T06:01,2026-08-14T19:17,06:01 AM,07:17 PM,32.55
2026-08-15,Ganganagar,0.9,35.0,28.9,2026-08-15T06:02,2026-08-15T19:16,06:02 AM,07:16 PM,31.95
2026-08-14,Hanumangarh,0.2,35.5,29.5,2026-08-14T05:59,2026-08-14T19:14,05:59 AM,07:14 PM,32.5
2026-08-15,Hanumangarh,1.5,34.3,29.0,2026-08-15T06:00,2026-08-15T19:13,06:00 AM,07:13 PM,31.65
2026-08-14,Jaipur,2.9,31.8,25.7,2026-08-14T05:57,2026-08-14T19:05,05:57 AM,07:05 PM,28.75
2026-08-15,Jaipur,15.3,32.0,25.5,2026-08-15T05:58,2026-08-15T19:04,05:58 AM,07:04 PM,28.75
2026-08-14,Jaisalmer,0.0,32.9,25.9,2026-08-14T06:17,2026-08-14T19:24,06:17 AM,07:24 PM,29.4
2026-08-15,Jaisalmer,0.0,33.7,25.1,2026-08-15T06:17,2026-08-15T19:23,06:17 AM,07:23 PM,29.400000000000002
2026-08-14,Jhalawar,6.1,30.9,25.0,2026-08-14T05:59,2026-08-14T19:00,05:59 AM,07:00 PM,27.95
2026-08-15,Jhalawar,19.3,29.1,24.8,2026-08-15T05:59,2026-08-15T19:00,05:59 AM,07:00 PM,26.950000000000003
2026-08-14,Jodhpur,0.9,32.4,26.2,2026-08-14T06:09,2026-08-14T19:15,06:09 AM,07:15 PM,29.299999999999997
2026-08-15,Jodhpur,0.0,30.8,26.1,2026-08-15T06:10,2026-08-15T19:14,06:10 AM,07:14 PM,28.450000000000003
2026-08-14,Kota,10.7,30.7,25.9,2026-08-14T05:59,2026-08-14T19:02,05:59 AM,07:02 PM,28.299999999999997
2026-08-15,Kota,11.2,30.0,25.6,2026-08-15T06:00,2026-08-15T19:01,06:00 AM,07:01 PM,27.8
2026-08-14,Nagaur,0.5,33.8,26.9,2026-08-14T06:05,2026-08-14T19:13,06:05 AM,07:13 PM,30.349999999999998
2026-08-15,Nagaur,1.0,33.7,26.9,2026-08-15T06:06,2026-08-15T19:12,06:06 AM,07:12 PM,30.3
2026-08-14,Pali,0.6,32.7,26.3,2026-08-14T06:09,2026-08-14T19:13,06:09 AM,07:13 PM,29.5
