date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-08-18,Ajmer,0.2,29.9,24.5,2026-08-18T06:04,2026-08-18T19:05,06:04 AM,07:05 PM,27.2
2026-08-19,Ajmer,0.0,30.3,23.6,2026-08-19T06:05,2026-08-19T19:04,06:05 AM,07:04 PM,26.950000000000003
2026-08-18,Alwar,1.6,33.4,27.0,2026-08-18T05:55,2026-08-18T18:59,05:55 AM,06:59 PM,30.2
2026-08-19,Alwar,1.7,32.7,25.6,2026-08-19T05:56,2026-08-19T18:58,05:56 AM,06:58 PM,29.150000000000002
2026-08-18,Banswara,8.3,30.4,24.0,2026-08-18T06:09,2026-08-18T19:03,06:09 AM,07:03 PM,27.2
2026-08-19,Banswara,0.8,30.1,24.2,2026-08-19T06:09,2026-08-19T19:02,06:09 AM,07:02 PM,27.15
2026-08-18,Barmer,0.0,33.9,25.2,2026-08-18T06:18,2026-08-18T19:17,06:18 AM,07:17 PM,29.549999999999997
2026-08-19,Barmer,0.0,34.1,25.2,2026-08-19T06:19,2026-08-19T19:17,06:19 AM,07:17 PM,29.65
2026-08-18,Bhilwara,0.0,31.2,24.1,2026-08-18T06:06,2026-08-18T19:04,06:06 AM,07:04 PM,27.65
2026-08-19,Bhilwara,0.0,31.4,23.5,2026-08-19T06:06,2026-08-19T19:03,06:06 AM,07:03 PM,27.45
2026-08-18,Bikaner,0.0,35.0,27.5,2026-08-18T06:08,2026-08-18T19:12,06:08 AM,07:12 PM,31.25
2026-08-19,Bikaner,0.0,35.9,26.7,2026-08-19T06:08,2026-08-19T19:11,06:08 AM,07:11 PM,31.299999999999997
2026-08-18,Bundi,1.0,32.0,26.0,2026-08-18T06:02,2026-08-18T19:00,06:02 AM,07:00 PM,29.0
2026-08-19,Bundi,0.0,32.3,24.9,2026-08-19T06:02,2026-08-19T18:59,06:02 AM,06:59 PM,28.599999999999998
2026-08-18,Chittaurgarh,0.0,30.3,23.7,2026-08-18T06:06,2026-08-18T19:03,06:06 AM,07:03 PM,27.0
